algorithm,payload,release_file,original_name,size_bytes,sha256
HILL,0.2bpp,checkpoints\hsnnet_HILL_0_2bpp_best_model_ema.pth,best_model_ema.pth,29257213,1d06628c7583798cbb7bf08af1b66cca4cf0e5c8bc3bc0436f0e9f8b2e79f3ab
HUGO,0.2bpp,checkpoints\hsnnet_HUGO_0_2bpp_best_model_ema.pth,best_model_ema.pth,29257213,41966060385c00bf6c6ff2ef17fd7b341dcb8a366278f0b816120cfef2cdc54a
MiPOD,0.2bpp,checkpoints\hsnnet_MiPOD_0_2bpp_best_model_ema.pth,best_model_ema.pth,29257213,c723b1dcba740a9a58c03113af04b32b8e175e656e10897b2563de796da2af79
S-UNIWARD,0.2bpp,checkpoints\hsnnet_S_UNIWARD_0_2bpp_best_model_ema.pth,best_model_ema.pth,29257213,4a3cb452e0fbdc94449fa767be65bdacd29dd546d35233968fa39045d43d3dee
WOW,0.2bpp,checkpoints\hsnnet_WOW_0_2bpp_best_model_ema.pth,best_model_ema.pth,29257213,3fb4c100964b15cc640ada45041a01bba577872a04ea7be4facbe565369d78ec
HILL,0.4bpp,checkpoints\hsnnet_HILL_0_4bpp_best_model_ema.pth,best_model_ema.pth,29257213,ec3c745d880a82b5b3a9c8e62d1395e8c37aab081f2793069a4325d23e069037
HUGO,0.4bpp,checkpoints\hsnnet_HUGO_0_4bpp_best_model_ema.pth,best_model_ema.pth,29257213,fbdb7f73e5a958aed42e0cec1c92b1112c4aa9d7235dc56a8760b9966aec171f
MiPOD,0.4bpp,checkpoints\hsnnet_MiPOD_0_4bpp_best_model_ema.pth,best_model_ema.pth,29257213,2d2ca6cf37a76ba8a73c48792de40e14328aa84a925ffb2505a9203b5b000267
S-UNIWARD,0.4bpp,checkpoints\hsnnet_S_UNIWARD_0_4bpp_best_model_ema.pth,best_model_ema.pth,29257213,c67a6c202f3c4acabbfc282746d61ec083eedcee65d7924ad8e332e13d183da4
WOW,0.4bpp,checkpoints\hsnnet_WOW_0_4bpp_best_model_ema.pth,best_model_ema.pth,29257213,5b9248f0f9fb3fa39b43c598122651d664a154ea6ab76669d9575d8a3452358f
