condition,metric,observed,expected,difference,status
bossbase_04,top1,42.81333333333333,42.813,0.000333333333330188,PASS
bossbase_04,top2,65.85333333333332,65.853,0.000333333333330188,PASS
bossbase_04,top3,82.28,82.28,0.0,PASS
bossbase_04,retention,90.4,90.4,0.0,PASS
bossbase_04,mean_set,3.428533333333333,3.429,0.00046666666666661527,PASS
bossbase_04,unknown,2.04,2.04,0.0,PASS
bossbase_04,search_reduction,31.429333333333336,31.429,0.0003333333333372934,PASS
bossbase_04,mean_true_rank,2.1568,2.157,0.00019999999999997797,PASS
bossbase_04,stego_n,7500.0,7500.0,0.0,PASS
bossbase_02,top1,30.106666666666666,30.107,0.0003333333333337407,PASS
bossbase_02,top2,53.61333333333334,53.613,0.0003333333333372934,PASS
bossbase_02,top3,72.58666666666667,72.587,0.000333333333330188,PASS
bossbase_02,retention,77.01333333333334,77.013,0.000333333333330188,PASS
bossbase_02,mean_set,3.4444,3.444,0.00039999999999995595,PASS
bossbase_02,unknown,16.333333333333332,16.333,0.0003333333333337407,PASS
bossbase_02,search_reduction,31.112000000000002,31.112,3.552713678800501e-15,PASS
bossbase_02,mean_true_rank,2.5484,2.548,0.00039999999999995595,PASS
bossbase_02,stego_n,7500.0,7500.0,0.0,PASS
bows2_04,top1,35.465999999999994,35.466,7.105427357601002e-15,PASS
bows2_04,top2,59.260000000000005,59.26,7.105427357601002e-15,PASS
bows2_04,top3,77.50200000000001,77.502,1.4210854715202004e-14,PASS
bows2_04,retention,91.262,91.262,0.0,PASS
bows2_04,mean_set,3.75866,3.759,0.00034000000000000696,PASS
bows2_04,unknown,1.694,1.694,0.0,PASS
bows2_04,search_reduction,24.826800000000002,24.827,0.00019999999999953388,PASS
bows2_04,mean_true_rank,2.36632,2.366,0.00031999999999987594,PASS
bows2_04,stego_n,50000.0,50000.0,0.0,PASS
bows2_02,top1,24.564,24.564,0.0,PASS
bows2_02,top2,47.146,47.146,0.0,PASS
bows2_02,top3,67.148,67.148,0.0,PASS
bows2_02,retention,88.61,88.61,0.0,PASS
bows2_02,mean_set,4.18356,4.184,0.000440000000000218,PASS
bows2_02,unknown,6.244000000000001,6.244,8.881784197001252e-16,PASS
bows2_02,search_reduction,16.3288,16.329,0.00019999999999953388,PASS
bows2_02,mean_true_rank,2.75838,2.758,0.0003799999999998249,PASS
bows2_02,stego_n,50000.0,50000.0,0.0,PASS
