target_algo,template_dimension,q_low_used,q_high_used,q05,q10,q25,q50,q75,q90,q95,mean,std,range_low,range_high
WOW,WOW,10,90,0.9536527693271637,1.5237902522087097,2.1764978766441345,3.7925050258636475,3.814626932144165,3.819051504135132,3.821263551712036,3.0881106128360454,1.088769706878167,1.5237902522087097,3.819051504135132
WOW,S-UNIWARD,10,90,-0.6607149988412857,-0.06549016982316956,1.2037296295166016,2.4507083892822266,3.157478094100952,3.1813993930816653,3.1871325969696045,2.0003929165780234,1.2528554533174538,-0.06549016982316956,3.1813993930816653
WOW,HILL,10,90,-0.4398026660084724,0.5376577198505401,1.0892918109893799,2.3828237056732178,2.9026541709899902,2.9175331592559814,2.921252965927124,1.9049519683346152,1.098091072267424,0.5376577198505401,2.9175331592559814
WOW,HUGO,10,90,-0.7098570793867112,-0.7039046287536621,-0.682662770152092,0.5386330485343933,1.5548535585403442,2.9372503757476807,3.0383578062057492,0.671008119983327,1.3489204411503675,-0.7039046287536621,2.9372503757476807
WOW,MiPOD,10,90,-0.5923539876937867,0.658677500486374,0.9843521863222122,2.2375166416168213,2.6301369667053223,2.6458070278167725,2.6510303020477295,1.762673388517132,0.9946073091484392,0.658677500486374,2.6458070278167725
S-UNIWARD,WOW,10,90,-0.6267312169075012,-0.6068111002445221,-0.2408071681857109,1.6400409936904907,3.3721883296966553,3.7706043481826783,3.8035659790039062,1.603163645041796,1.6484263419055782,-0.6068111002445221,3.7706043481826783
S-UNIWARD,S-UNIWARD,10,90,0.39262505173683165,0.9589798152446747,1.2492001056671143,2.8174378871917725,3.1634089946746826,3.179224729537964,3.183178663253784,2.2474053127126146,1.040336368138447,0.9589798152446747,3.179224729537964
S-UNIWARD,HILL,10,90,-0.8079675495624542,-0.7592566668987274,0.2835080176591873,1.152527093887329,2.59345281124115,2.8896353244781494,2.913813352584839,1.2473387657893813,1.262197799819,-0.7592566668987274,2.8896353244781494
S-UNIWARD,HUGO,10,90,-0.7095603942871094,-0.7046353816986084,-0.6848256438970566,0.48906129598617554,1.445421576499939,2.836610364913941,3.0045928955078125,0.629557897646601,1.3276042979659632,-0.7046353816986084,2.836610364913941
S-UNIWARD,MiPOD,10,90,-0.8024080991744995,-0.49709344804286953,0.8879382312297821,1.423547387123108,2.5226234793663025,2.6283960342407227,2.6458070278167725,1.4238257007309392,1.0987040495279927,-0.49709344804286953,2.6283960342407227
HILL,WOW,10,90,-0.6343010663986206,-0.6284249424934387,-0.5946198105812073,0.5057389140129089,2.107366919517517,3.7172904014587402,3.7904035806655885,0.9785957297965263,1.620131027962206,-0.6284249424934387,3.7172904014587402
HILL,S-UNIWARD,10,90,-0.8015823692083359,-0.7737424969673157,-0.37816158682107925,1.2012584209442139,2.452191114425659,3.157478094100952,3.181201696395874,1.1297868850843515,1.4067999494162282,-0.7737424969673157,3.157478094100952
HILL,HILL,10,90,0.292388839274645,0.858483374118805,1.1353233456611633,2.6422741413116455,2.906373977661133,2.91567325592041,2.9193930625915527,2.0476770695311326,0.993773008849406,0.858483374118805,2.91567325592041
HILL,HUGO,10,90,-0.7105103135108948,-0.7058892905712127,-0.6932069659233093,-0.31449180841445923,1.2574231624603271,2.4770748615264893,2.8928228616714473,0.3943813736668477,1.2431590229914542,-0.7058892905712127,2.4770748615264893
HILL,MiPOD,10,90,-0.39869896024465556,0.6884505033493042,0.9760819673538208,2.1374027729034424,2.6231725215911865,2.647548198699951,2.6510303020477295,1.745266295065793,0.9719524233851848,0.6884505033493042,2.647548198699951
HUGO,WOW,10,90,-0.6365287870168685,-0.6334887683391571,-0.6247955560684204,-0.41729871928691864,1.549341082572937,2.5421733617782616,3.622497987747192,0.43104717253676306,1.3687475385533017,-0.6334887683391571,2.5421733617782616
HUGO,S-UNIWARD,10,90,-0.7967743247747421,-0.774539464712143,-0.4437107518315315,1.187419593334198,2.4571335315704346,3.167362928390503,3.179224729537964,1.0890575166796335,1.4300791118925884,-0.774539464712143,3.167362928390503
