sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD
COVER__BOWS2__0.4bpp__1.pgm,1.pgm,COVER,0,${BOWS2_ROOT}/cover/1.pgm,0.0070648193,0.0076942444,0.10559082,0.008377075,0.11102295
COVER__BOWS2__0.4bpp__10.pgm,10.pgm,COVER,0,${BOWS2_ROOT}/cover/10.pgm,0.024795532,0.1850586,0.7246094,0.6191406,0.4831543
COVER__BOWS2__0.4bpp__100.pgm,100.pgm,COVER,0,${BOWS2_ROOT}/cover/100.pgm,0.6381836,0.51660156,0.5361328,0.59375,0.5620117
COVER__BOWS2__0.4bpp__1000.pgm,1000.pgm,COVER,0,${BOWS2_ROOT}/cover/1000.pgm,0.030792236,0.025039673,0.2397461,0.35253906,0.30444336
COVER__BOWS2__0.4bpp__10000.pgm,10000.pgm,COVER,0,${BOWS2_ROOT}/cover/10000.pgm,0.5722656,0.10913086,0.46484375,0.021911621,0.5864258
COVER__BOWS2__0.4bpp__1001.pgm,1001.pgm,COVER,0,${BOWS2_ROOT}/cover/1001.pgm,0.20239258,0.47265625,0.49780273,0.5258789,0.5048828
COVER__BOWS2__0.4bpp__1002.pgm,1002.pgm,COVER,0,${BOWS2_ROOT}/cover/1002.pgm,0.48706055,0.50146484,0.5083008,0.5102539,0.58447266
COVER__BOWS2__0.4bpp__1003.pgm,1003.pgm,COVER,0,${BOWS2_ROOT}/cover/1003.pgm,0.034088135,0.014282227,0.47802734,0.39672852,0.5205078
COVER__BOWS2__0.4bpp__1004.pgm,1004.pgm,COVER,0,${BOWS2_ROOT}/cover/1004.pgm,0.50683594,0.50634766,0.50390625,0.5073242,0.5107422
COVER__BOWS2__0.4bpp__1005.pgm,1005.pgm,COVER,0,${BOWS2_ROOT}/cover/1005.pgm,0.5161133,0.5107422,0.5180664,0.5136719,0.51171875
COVER__BOWS2__0.4bpp__1006.pgm,1006.pgm,COVER,0,${BOWS2_ROOT}/cover/1006.pgm,0.026855469,0.01927185,0.026855469,0.014282227,0.21813965
COVER__BOWS2__0.4bpp__1007.pgm,1007.pgm,COVER,0,${BOWS2_ROOT}/cover/1007.pgm,0.59814453,0.39990234,0.6435547,0.5727539,0.49438477
COVER__BOWS2__0.4bpp__1008.pgm,1008.pgm,COVER,0,${BOWS2_ROOT}/cover/1008.pgm,0.50927734,0.5107422,0.5097656,0.5078125,0.51464844
COVER__BOWS2__0.4bpp__1009.pgm,1009.pgm,COVER,0,${BOWS2_ROOT}/cover/1009.pgm,0.66064453,0.92822266,0.9511719,0.81933594,0.9824219
COVER__BOWS2__0.4bpp__101.pgm,101.pgm,COVER,0,${BOWS2_ROOT}/cover/101.pgm,0.06500244,0.35888672,0.33276367,0.2602539,0.6948242
COVER__BOWS2__0.4bpp__1010.pgm,1010.pgm,COVER,0,${BOWS2_ROOT}/cover/1010.pgm,0.040924072,0.11242676,0.015129089,0.01411438,0.005935669
COVER__BOWS2__0.4bpp__1011.pgm,1011.pgm,COVER,0,${BOWS2_ROOT}/cover/1011.pgm,0.53027344,0.53027344,0.5136719,0.51904297,0.5253906
COVER__BOWS2__0.4bpp__1012.pgm,1012.pgm,COVER,0,${BOWS2_ROOT}/cover/1012.pgm,0.45996094,0.48950195,0.49975586,0.51416016,0.46191406
COVER__BOWS2__0.4bpp__1013.pgm,1013.pgm,COVER,0,${BOWS2_ROOT}/cover/1013.pgm,0.111450195,0.03970337,0.26635742,0.6982422,0.25585938
COVER__BOWS2__0.4bpp__1014.pgm,1014.pgm,COVER,0,${BOWS2_ROOT}/cover/1014.pgm,0.49194336,0.49926758,0.5102539,0.4987793,0.5048828
COVER__BOWS2__0.4bpp__1015.pgm,1015.pgm,COVER,0,${BOWS2_ROOT}/cover/1015.pgm,0.49145508,0.5078125,0.52734375,0.50927734,0.51953125
COVER__BOWS2__0.4bpp__1016.pgm,1016.pgm,COVER,0,${BOWS2_ROOT}/cover/1016.pgm,0.5151367,0.5083008,0.5161133,0.50390625,0.5161133
COVER__BOWS2__0.4bpp__1017.pgm,1017.pgm,COVER,0,${BOWS2_ROOT}/cover/1017.pgm,0.50390625,0.5097656,0.52001953,0.50683594,0.50439453
COVER__BOWS2__0.4bpp__1018.pgm,1018.pgm,COVER,0,${BOWS2_ROOT}/cover/1018.pgm,0.008880615,0.011688232,0.008216858,0.009231567,0.008743286
COVER__BOWS2__0.4bpp__1019.pgm,1019.pgm,COVER,0,${BOWS2_ROOT}/cover/1019.pgm,0.5083008,0.5073242,0.50683594,0.5078125,0.5107422
COVER__BOWS2__0.4bpp__102.pgm,102.pgm,COVER,0,${BOWS2_ROOT}/cover/102.pgm,0.5209961,0.5317383,0.6816406,0.39868164,0.6738281
COVER__BOWS2__0.4bpp__1020.pgm,1020.pgm,COVER,0,${BOWS2_ROOT}/cover/1020.pgm,0.68408203,0.51904297,0.7626953,0.5185547,0.93408203
COVER__BOWS2__0.4bpp__1021.pgm,1021.pgm,COVER,0,${BOWS2_ROOT}/cover/1021.pgm,0.5058594,0.5058594,0.51123047,0.5097656,0.51171875
COVER__BOWS2__0.4bpp__1022.pgm,1022.pgm,COVER,0,${BOWS2_ROOT}/cover/1022.pgm,0.50439453,0.72753906,0.74609375,0.6948242,0.82958984
COVER__BOWS2__0.4bpp__1023.pgm,1023.pgm,COVER,0,${BOWS2_ROOT}/cover/1023.pgm,0.03540039,0.024337769,0.1965332,0.39013672,0.57128906
COVER__BOWS2__0.4bpp__1024.pgm,1024.pgm,COVER,0,${BOWS2_ROOT}/cover/1024.pgm,0.51220703,0.5073242,0.5131836,0.5083008,0.51416016
COVER__BOWS2__0.4bpp__1025.pgm,1025.pgm,COVER,0,${BOWS2_ROOT}/cover/1025.pgm,0.51220703,0.49389648,0.5107422,0.5410156,0.49975586
COVER__BOWS2__0.4bpp__1026.pgm,1026.pgm,COVER,0,${BOWS2_ROOT}/cover/1026.pgm,0.39282227,0.49829102,0.22021484,0.5761719,0.6879883
COVER__BOWS2__0.4bpp__1027.pgm,1027.pgm,COVER,0,${BOWS2_ROOT}/cover/1027.pgm,0.49169922,0.49951172,0.5126953,0.5102539,0.50341797
COVER__BOWS2__0.4bpp__1028.pgm,1028.pgm,COVER,0,${BOWS2_ROOT}/cover/1028.pgm,0.3017578,0.67871094,0.23474121,0.7895508,9.173155e-05
COVER__BOWS2__0.4bpp__1029.pgm,1029.pgm,COVER,0,${BOWS2_ROOT}/cover/1029.pgm,0.5097656,0.51123047,0.5083008,0.5029297,0.51123047
COVER__BOWS2__0.4bpp__103.pgm,103.pgm,COVER,0,${BOWS2_ROOT}/cover/103.pgm,0.08105469,0.15820312,0.45239258,0.45117188,0.5107422
COVER__BOWS2__0.4bpp__1030.pgm,1030.pgm,COVER,0,${BOWS2_ROOT}/cover/1030.pgm,0.50634766,0.5053711,0.5058594,0.5131836,0.48999023
COVER__BOWS2__0.4bpp__1031.pgm,1031.pgm,COVER,0,${BOWS2_ROOT}/cover/1031.pgm,0.9926758,0.98779297,0.99121094,0.9848633,0.99316406
COVER__BOWS2__0.4bpp__1032.pgm,1032.pgm,COVER,0,${BOWS2_ROOT}/cover/1032.pgm,0.50683594,0.5083008,0.5024414,0.49853516,0.51123047
COVER__BOWS2__0.4bpp__1033.pgm,1033.pgm,COVER,0,${BOWS2_ROOT}/cover/1033.pgm,0.5205078,0.5107422,0.50927734,0.51220703,0.5097656
COVER__BOWS2__0.4bpp__1034.pgm,1034.pgm,COVER,0,${BOWS2_ROOT}/cover/1034.pgm,0.50341797,0.5024414,0.49243164,0.5185547,0.48876953
COVER__BOWS2__0.4bpp__1035.pgm,1035.pgm,COVER,0,${BOWS2_ROOT}/cover/1035.pgm,0.4934082,0.5209961,0.5161133,0.5024414,0.50683594
COVER__BOWS2__0.4bpp__1036.pgm,1036.pgm,COVER,0,${BOWS2_ROOT}/cover/1036.pgm,0.015602112,0.016662598,0.07171631,0.54541016,0.17370605
COVER__BOWS2__0.4bpp__1037.pgm,1037.pgm,COVER,0,${BOWS2_ROOT}/cover/1037.pgm,0.4819336,0.48168945,0.4970703,0.49902344,0.49438477
COVER__BOWS2__0.4bpp__1038.pgm,1038.pgm,COVER,0,${BOWS2_ROOT}/cover/1038.pgm,0.018096924,0.15344238,0.4182129,0.49243164,0.44140625
COVER__BOWS2__0.4bpp__1039.pgm,1039.pgm,COVER,0,${BOWS2_ROOT}/cover/1039.pgm,0.020248413,0.013900757,0.95654297,0.045196533,0.7548828
COVER__BOWS2__0.4bpp__104.pgm,104.pgm,COVER,0,${BOWS2_ROOT}/cover/104.pgm,0.8569336,0.59472656,0.7709961,0.49536133,0.7133789
COVER__BOWS2__0.4bpp__1040.pgm,1040.pgm,COVER,0,${BOWS2_ROOT}/cover/1040.pgm,0.0692749,0.022201538,0.24414062,0.098083496,0.48754883
COVER__BOWS2__0.4bpp__1041.pgm,1041.pgm,COVER,0,${BOWS2_ROOT}/cover/1041.pgm,0.5083008,0.50927734,0.50390625,0.50439453,0.5136719
COVER__BOWS2__0.4bpp__1042.pgm,1042.pgm,COVER,0,${BOWS2_ROOT}/cover/1042.pgm,0.4958496,0.5083008,0.5097656,0.51904297,0.5097656
COVER__BOWS2__0.4bpp__1043.pgm,1043.pgm,COVER,0,${BOWS2_ROOT}/cover/1043.pgm,0.39575195,0.49804688,0.5053711,0.5131836,0.5097656
COVER__BOWS2__0.4bpp__1044.pgm,1044.pgm,COVER,0,${BOWS2_ROOT}/cover/1044.pgm,0.5004883,0.5078125,0.5175781,0.5102539,0.5209961
COVER__BOWS2__0.4bpp__1045.pgm,1045.pgm,COVER,0,${BOWS2_ROOT}/cover/1045.pgm,0.52490234,0.50927734,0.51416016,0.50878906,0.49536133
COVER__BOWS2__0.4bpp__1046.pgm,1046.pgm,COVER,0,${BOWS2_ROOT}/cover/1046.pgm,0.4963379,0.47094727,0.5830078,0.5991211,0.5522461
COVER__BOWS2__0.4bpp__1047.pgm,1047.pgm,COVER,0,${BOWS2_ROOT}/cover/1047.pgm,0.20239258,0.018798828,0.53759766,0.5307617,0.48388672
