sample_id,image_name,true_algo,is_stego,path,p_WOW,tau_WOW,tau_fpr10_WOW,range_low_WOW,range_high_WOW,margin_WOW,inside_range_WOW,p_S-UNIWARD,tau_S-UNIWARD,tau_fpr10_S-UNIWARD,range_low_S-UNIWARD,range_high_S-UNIWARD,margin_S-UNIWARD,inside_range_S-UNIWARD,p_HILL,tau_HILL,tau_fpr10_HILL,range_low_HILL,range_high_HILL,margin_HILL,inside_range_HILL,p_HUGO,tau_HUGO,tau_fpr10_HUGO,range_low_HUGO,range_high_HUGO,margin_HUGO,inside_range_HUGO,p_MiPOD,tau_MiPOD,tau_fpr10_MiPOD,range_low_MiPOD,range_high_MiPOD,margin_MiPOD,inside_range_MiPOD,pred_algo,decision,top1_algo,top2_algo,top1_score,top2_score,top1_top2_margin,top1_evidence,top2_evidence,max_evidence,num_activated_templates,activated_templates,E_WOW,G_WOW,S_WOW,E_S-UNIWARD,G_S-UNIWARD,S_S-UNIWARD,E_HILL,G_HILL,S_HILL,E_HUGO,G_HUGO,S_HUGO,E_MiPOD,G_MiPOD,S_MiPOD
WOW__STEGO__52.pgm,52.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\52.pgm,0.9911526449170697,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.49969756679206967,0,0.9892648373909093,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.4838937436409093,0,0.9936610782629057,0.50048828125,0.548828125,0.50048828125,0.548828125,0.49317279701290573,0,0.008315778477474129,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5195162527725259,0,0.991186833496954,0.4921875,0.62451171875,0.4921875,0.62451171875,0.498999333496954,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.382348718766639,2.77841121171545,0.6039375070511892,3.227489675606983,2.6201221853109233,3.227489675606983,4,"WOW,S-UNIWARD,HILL,MiPOD",3.227489675606983,0.6194361726386233,3.382348718766639,2.6201221853109233,0.6331561056181063,2.77841121171545,2.392035650194108,0.6409313325781552,2.5522684833386466,-2.1701505783268997,0.5948082152104565,-2.0214485245242857,2.121876340258352,0.6930347652483717,2.295135031570445
WOW__STEGO__7548.pgm,7548.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\7548.pgm,0.9927952309111313,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5013401527861313,0,0.9940659331606164,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.4886948394106164,0,0.9867261125456144,0.50048828125,0.548828125,0.50048828125,0.548828125,0.4862378312956144,0,0.03155901917057399,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.496273012079426,0,0.23863889487701548,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.2535486051229845,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.3857778188413397,2.7873700987751224,0.5984077200662172,3.231172936179649,2.6298392117395077,3.231172936179649,3,"WOW,S-UNIWARD,HILL",3.231172936179649,0.6184195306467628,3.3857778188413397,2.6298392117395077,0.6301235481424596,2.7873700987751224,2.3795139484252785,0.6453916174822009,2.5408618527958287,-2.0401696717808995,0.608795409881571,-1.8879708193105067,-1.055005034124297,0.7760420243904019,-0.8609945280266964
WOW__STEGO__450.pgm,450.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\450.pgm,0.5144612976347093,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.02300621950970927,0,0.5090779818091946,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.003706888059194613,1,0.5084830726270853,0.50048828125,0.548828125,0.50048828125,0.548828125,0.007994791377085253,1,0.5254144805675072,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.0024175506824928306,0,0.5147967036176525,0.4921875,0.62451171875,0.4921875,0.62451171875,0.022609203617652507,1,UNKNOWN,UNKNOWN_OR_COVER,WOW,HUGO,1.146605972274818,0.9709663703688404,0.17563960190597772,0.8971689041334241,0.7215700280589242,0.8971689041334241,0,,0.8971689041334241,0.9977482725655755,1.146605972274818,0.6827282231035005,1.0,0.9327282231035005,0.5385038753294276,1.0,0.7885038753294276,0.7215700280589242,0.9975853692396645,0.9709663703688404,0.43311341334986414,1.0,0.6831134133498642
WOW__STEGO__637.pgm,637.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\637.pgm,0.9929335990367509,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5014785209117509,0,0.8547634457774486,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.34939235202744856,0,0.7424217173984088,0.50048828125,0.548828125,0.50048828125,0.548828125,0.2419334361484088,0,0.15882561045580992,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.3690064207941901,0,0.687734866468537,0.4921875,0.62451171875,0.4921875,0.62451171875,0.195547366468537,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.3860666983628005,2.5289796380145164,0.8570870603482841,3.231483206608991,2.3479023339104024,3.231483206608991,4,"WOW,S-UNIWARD,HILL,MiPOD",3.231483206608991,0.6183339670152368,3.3860666983628005,2.3479023339104024,0.7243092164164555,2.5289796380145164,1.8528726711245558,0.8239927131318076,2.0588708494075076,-1.3284691336891938,0.6914209709643028,-1.1556138909481182,1.3650170650492195,0.9387339739707058,1.599700558541896
WOW__STEGO__7056.pgm,7056.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\7056.pgm,0.9903290072365529,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.4988739291115529,0,0.9864678513445929,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.4810967575945929,0,0.9889278398167658,0.50048828125,0.548828125,0.50048828125,0.548828125,0.4884395585667658,0,0.008187909901696235,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5196441213483037,0,0.9847524093785005,0.4921875,0.62451171875,0.4921875,0.62451171875,0.4925649093785005,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.3806294311521614,2.773193691915667,0.6074357392364944,3.225642787708403,2.6144613135774493,3.225642787708403,4,"WOW,S-UNIWARD,HILL,MiPOD",3.225642787708403,0.6199465737750338,3.3806294311521614,2.6144613135774493,0.6349295133528712,2.773193691915667,2.3834893642224926,0.6439722043111575,2.544482415300282,-2.17086564528412,0.5947321627935773,-2.0221826045857254,2.111804634666488,0.6975084221248828,2.286181740197709
WOW__STEGO__9661.pgm,9661.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\9661.pgm,0.9876638995791303,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.49620882145413026,0,0.9893885786697612,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.48401748491976115,0,0.992767236196521,0.50048828125,0.548828125,0.50048828125,0.548828125,0.49227895494652096,0,0.9588471107825551,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.43101507953255513,0,0.9869292152258129,0.4921875,0.62451171875,0.4921875,0.62451171875,0.4947417152258129,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.3750669212282385,2.7786420683010866,0.5964248529271519,3.2196666707854638,2.6203726275713124,3.2196666707854638,5,"WOW,S-UNIWARD,HILL,HUGO,MiPOD",3.2196666707854638,0.6216010017710993,3.3750669212282385,2.6203726275713124,0.6330777629190971,2.7786420683010866,2.390421738281638,0.6415044800783907,2.5507978583012356,2.551995565231562,0.6633136876140312,2.71782398713507,2.115211955542633,0.6959917330807421,2.2892098888128185
WOW__STEGO__7451.pgm,7451.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\7451.pgm,0.9909797204985978,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.49952464237359784,0,0.987711402470298,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.482340308720298,0,0.9926826025287876,0.50048828125,0.548828125,0.50048828125,0.548828125,0.4921943212787876,0,0.007460643463940165,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.5203713877860598,0,0.4058607701104689,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.0863267298895311,0,WOW,ATTRIBUTED,WOW,S-UNIWARD,3.381987742093957,2.7755132688683832,0.6064744732255738,3.2271019177088207,2.6169781596753783,3.2271019177088207,3,"WOW,S-UNIWARD,HILL",3.2271019177088207,0.6195432975405459,3.381987742093957,2.6169781596753783,0.63414043677202,2.7755132688683832,2.390268924613891,0.6415587752529746,2.5506586184271347,-2.1749326664077313,0.5942997912958202,-2.0263577185837764,-0.15390446959223736,0.917294474730719,0.0754191490904424
WOW__STEGO__3439.pgm,3439.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\3439.pgm,0.5105651385997119,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.019110060474711865,1,0.5046080238285706,0.50537109375,0.5322265625,0.50537109375,0.5322265625,-0.0007630699214293823,0,0.5030688854120712,0.50048828125,0.548828125,0.50048828125,0.548828125,0.002580604162071176,1,0.5041083364949797,0.52783203125,0.54833984375,0.52783203125,0.54833984375,-0.02372369475502034,0,0.5136913396703219,0.4921875,0.62451171875,0.4921875,0.62451171875,0.021503839670321878,1,UNKNOWN,UNKNOWN_OR_COVER,WOW,S-UNIWARD,1.1227831155241625,0.9064773132464471,0.21630580227771545,0.8727831155241625,0.656668007960851,0.8727831155241625,0,,0.8727831155241625,1.0,1.1227831155241625,0.656668007960851,0.9992372211423844,0.9064773132464471,0.5080846227217038,1.0,0.7580846227217038,0.6024217578967113,0.9765554998906121,0.8465606328693642,0.4271569912276838,1.0,0.6771569912276838
WOW__STEGO__3664.pgm,3664.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\3664.pgm,0.7884203206608902,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.2969652425358902,0,0.8523219402958387,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.34695084654583874,0,0.3634209328406997,0.50048828125,0.548828125,0.50048828125,0.548828125,-0.1370673484093003,0,0.5836780397069826,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.05584600845698262,0,0.7025300573952054,0.4921875,0.62451171875,0.4921875,0.62451171875,0.21034255739520535,0,WOW|S-UNIWARD,AMBIGUOUS,WOW,S-UNIWARD,2.801522163872636,2.524480871329804,0.2770412925428323,2.611859388558352,2.3429609258593436,2.611859388558352,4,"WOW,S-UNIWARD,HUGO,MiPOD",2.611859388558352,0.7586511012571368,2.801522163872636,2.3429609258593436,0.7260797818818406,2.524480871329804,-0.27651815821647285,0.8719115023019227,-0.058540282640992175,1.0473916437079722,0.9652789076248095,1.2887113706141746,1.444743206606765,0.9249474641046279,1.675980072632922
WOW__STEGO__3390.pgm,3390.pgm,WOW,1,<BOSSBASE_ROOT>\stego\WOW\0.4bpp\stego\3390.pgm,0.6800292550948656,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.18857417696986556,0,0.5415300741064153,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.03615898035641529,0,0.56727749903977,0.50048828125,0.548828125,0.50048828125,0.548828125,0.06678921778976998,0,0.6595148131373801,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.13168278188738014,0,0.6312533946017395,0.4921875,0.62451171875,0.4921875,0.62451171875,0.13906589460173946,0,WOW|HUGO,AMBIGUOUS,WOW,HUGO,2.1448232755244145,1.6951817745457256,0.44964150097868893,1.9334472425748288,1.4714862306100893,1.9334472425748288,3,"WOW,HUGO,MiPOD",1.9334472425748288,0.8455041317983428,2.1448232755244145,0.8719265356515378,0.9907396321578528,1.119611443691001,0.8688364696686184,0.9817197738399722,1.1142664131286115,1.4714862306100893,0.8947821757425448,1.6951817745457256,1.0606580443545932,0.9932809982624495,1.3089782939202057
