sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD
COVER__BOWS2__0.4bpp__1.pgm,1.pgm,COVER,0,${BOWS2_ROOT}/cover/1.pgm,0.0070648193,0.0076942444,0.10559082,0.008377075,0.11102295,-0.64411765,-0.8107954,-0.4576457,-0.7027063,-0.49276245
COVER__BOWS2__0.4bpp__10.pgm,10.pgm,COVER,0,${BOWS2_ROOT}/cover/10.pgm,0.024795532,0.1850586,0.7246094,0.6191406,0.4831543,-0.5637874,-0.092673615,1.9001902,1.6371614,0.8341814
COVER__BOWS2__0.4bpp__100.pgm,100.pgm,COVER,0,${BOWS2_ROOT}/cover/100.pgm,0.6381836,0.51660156,0.5361328,0.59375,0.5620117,2.2152114,1.2496943,1.1822848,1.5398885,1.1153708
COVER__BOWS2__0.4bpp__1000.pgm,1000.pgm,COVER,0,${BOWS2_ROOT}/cover/1000.pgm,0.030792236,0.025039673,0.2397461,0.35253906,0.30444336,-0.5366189,-0.7405664,0.053350497,0.61579657,0.19693497
COVER__BOWS2__0.4bpp__10000.pgm,10000.pgm,COVER,0,${BOWS2_ROOT}/cover/10000.pgm,0.5722656,0.10913086,0.46484375,0.021911621,0.5864258,1.9165652,-0.40009367,0.9107454,-0.6508547,1.2024263
COVER__BOWS2__0.4bpp__1001.pgm,1001.pgm,COVER,0,${BOWS2_ROOT}/cover/1001.pgm,0.20239258,0.47265625,0.49780273,0.5258789,0.5048828,0.24082878,1.0717664,1.0362859,1.2798707,0.91166085
COVER__BOWS2__0.4bpp__1002.pgm,1002.pgm,COVER,0,${BOWS2_ROOT}/cover/1002.pgm,0.48706055,0.50146484,0.5083008,0.5102539,0.58447266,1.5305375,1.1884081,1.0762728,1.2200105,1.1954619
COVER__BOWS2__0.4bpp__1003.pgm,1003.pgm,COVER,0,${BOWS2_ROOT}/cover/1003.pgm,0.034088135,0.014282227,0.47802734,0.39672852,0.5205078,-0.5216866,-0.78412163,0.9609616,0.7850887,0.9673764
COVER__BOWS2__0.4bpp__1004.pgm,1004.pgm,COVER,0,${BOWS2_ROOT}/cover/1004.pgm,0.50683594,0.50634766,0.50390625,0.5073242,0.5107422,1.6201313,1.2081778,1.0595341,1.2087867,0.9325542
COVER__BOWS2__0.4bpp__1005.pgm,1005.pgm,COVER,0,${BOWS2_ROOT}/cover/1005.pgm,0.5161133,0.5107422,0.5180664,0.5136719,0.51171875,1.6621629,1.2259706,1.11347,1.233105,0.9360364
COVER__BOWS2__0.4bpp__1006.pgm,1006.pgm,COVER,0,${BOWS2_ROOT}/cover/1006.pgm,0.026855469,0.01927185,0.026855469,0.014282227,0.21813965,-0.5544547,-0.7639194,-0.7575479,-0.68008333,-0.11080632
