Template,Algo,Payload,Domain,Adaptivity,Family,CoverDir,N,MeanProb,StdProb,MeanMargin,StdMargin
TEMP_HILL_0p2bpp,HILL,0.2bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.5254696011543274,0.04009324312210083,0.01863366924226284,0.04009324312210083
TEMP_HILL_0p4bpp,HILL,0.4bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.2734595239162445,0.20079685747623444,-0.015358855947852135,0.20079685747623444
TEMP_HUGO_0p2bpp,HUGO,0.2bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.4390088617801666,0.14082476496696472,0.042036209255456924,0.14082476496696472
TEMP_HUGO_0p4bpp,HUGO,0.4bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.4311102032661438,0.22407254576683044,-0.08695624023675919,0.22407254576683044
TEMP_LSB_0p2bpp,LSB,0.2bpp,spatial,nonadaptive,spatial_nonadaptive,${BOWS2_ROOT}\cover,3000,0.09458725899457932,0.19072748720645905,-0.2015552967786789,0.19072750210762024
TEMP_LSB_0p4bpp,LSB,0.4bpp,spatial,nonadaptive,spatial_nonadaptive,${BOWS2_ROOT}\cover,3000,0.06602030247449875,0.18158678710460663,-0.44813984632492065,0.18158678710460663
TEMP_MiPOD_0p2bpp,MiPOD,0.2bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.47688940167427063,0.0719442069530487,0.03450658172369003,0.0719442069530487
TEMP_MiPOD_0p4bpp,MiPOD,0.4bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.5210446715354919,0.1652332991361618,0.03129857778549194,0.1652332991361618
TEMP_S-UNIWARD_0p2bpp,S-UNIWARD,0.2bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.48375585675239563,0.06034532189369202,-0.010628891177475452,0.06034532189369202
TEMP_S-UNIWARD_0p4bpp,S-UNIWARD,0.4bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.4112825393676758,0.2052062302827835,-0.06503579765558243,0.2052062302827835
TEMP_WOW_0p2bpp,WOW,0.2bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.48488467931747437,0.094248928129673,0.009542934596538544,0.094248928129673
TEMP_WOW_0p4bpp,WOW,0.4bpp,spatial,adaptive,spatial_adaptive,${BOWS2_ROOT}\cover,3000,0.36355915665626526,0.26420706510543823,-0.18673378229141235,0.26420706510543823
