sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD
COVER__BOWS2__0.2bpp__1.pgm,1.pgm,COVER,0,${BOWS2_ROOT}/cover/1.pgm,0.007575989,0.49853516,0.7084961,0.515625,0.40063477,-0.99836266,-0.5006073,1.3724914,1.3378947,0.09428965
COVER__BOWS2__0.2bpp__10.pgm,10.pgm,COVER,0,${BOWS2_ROOT}/cover/10.pgm,0.42211914,0.49902344,0.56152344,0.5097656,0.5161133,0.5545521,-0.03836936,0.8100935,-0.0023040117,0.51136637
COVER__BOWS2__0.2bpp__100.pgm,100.pgm,COVER,0,${BOWS2_ROOT}/cover/100.pgm,0.54052734,0.49902344,0.50390625,0.50927734,0.51123047,0.9981195,-0.03836936,0.58961856,-0.11398723,0.49373102
COVER__BOWS2__0.2bpp__1000.pgm,1000.pgm,COVER,0,${BOWS2_ROOT}/cover/1000.pgm,0.5805664,0.49926758,0.515625,0.51416016,0.49389648,1.1481093,0.1927496,0.6344609,1.0028449,0.4311254
COVER__BOWS2__0.2bpp__10000.pgm,10000.pgm,COVER,0,${BOWS2_ROOT}/cover/10000.pgm,0.4794922,0.50146484,0.51123047,0.51708984,0.47998047,0.7694765,2.2728202,0.617645,1.6729443,0.3808646
COVER__BOWS2__0.2bpp__1001.pgm,1001.pgm,COVER,0,${BOWS2_ROOT}/cover/1001.pgm,0.45336914,0.49902344,0.49975586,0.50878906,0.5048828,0.67161727,-0.03836936,0.5737369,-0.22567046,0.47080502
COVER__BOWS2__0.2bpp__1002.pgm,1002.pgm,COVER,0,${BOWS2_ROOT}/cover/1002.pgm,0.48754883,0.49951172,0.4975586,0.5131836,0.51708984,0.79965734,0.42386857,0.56532896,0.77947855,0.5148935
COVER__BOWS2__0.2bpp__1003.pgm,1003.pgm,COVER,0,${BOWS2_ROOT}/cover/1003.pgm,0.23754883,0.49975586,0.5229492,0.51660156,0.5151367,-0.1368644,0.6549875,0.6624874,1.561261,0.5078393
COVER__BOWS2__0.2bpp__1004.pgm,1004.pgm,COVER,0,${BOWS2_ROOT}/cover/1004.pgm,0.49804688,0.49926758,0.49926758,0.5058594,0.5029297,0.83898395,0.1927496,0.5718685,-0.8957698,0.46375087
COVER__BOWS2__0.2bpp__1005.pgm,1005.pgm,COVER,0,${BOWS2_ROOT}/cover/1005.pgm,0.5019531,0.49975586,0.5024414,0.5097656,0.50634766,0.85361713,0.6549875,0.5840133,-0.0023040117,0.47609565
COVER__BOWS2__0.2bpp__1006.pgm,1006.pgm,COVER,0,${BOWS2_ROOT}/cover/1006.pgm,0.36669922,0.49902344,0.32006836,0.5131836,0.45043945,0.3469442,-0.03836936,-0.113845915,0.77947855,0.27417052
COVER__BOWS2__0.2bpp__1007.pgm,1007.pgm,COVER,0,${BOWS2_ROOT}/cover/1007.pgm,0.5419922,0.49902344,0.53515625,0.51220703,0.5107422,1.0036069,-0.03836936,0.7091982,0.5561121,0.49196747
