sample_id,image_name,true_algo,is_stego,path,p_WOW,tau_WOW,tau_fpr10_WOW,range_low_WOW,range_high_WOW,p_S-UNIWARD,tau_S-UNIWARD,tau_fpr10_S-UNIWARD,range_low_S-UNIWARD,range_high_S-UNIWARD,p_HILL,tau_HILL,tau_fpr10_HILL,range_low_HILL,range_high_HILL,p_HUGO,tau_HUGO,tau_fpr10_HUGO,range_low_HUGO,range_high_HUGO,p_MiPOD,tau_MiPOD,tau_fpr10_MiPOD,range_low_MiPOD,range_high_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD,pred_algo,decision,top1_algo,top2_algo,top1_distance_eff,top2_distance_eff,distance_separation,max_z_evidence,top1_range_membership,D_WOW,Deff_WOW,G_WOW,D_S-UNIWARD,Deff_S-UNIWARD,G_S-UNIWARD,D_HILL,Deff_HILL,G_HILL,D_HUGO,Deff_HUGO,G_HUGO,D_MiPOD,Deff_MiPOD,G_MiPOD
WOW__TEST__STEGO__52.pgm,52.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\52.pgm,0.9911526449170697,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.9892648373909093,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.9936610782629057,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008315778477474129,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.991186833496954,0.4921875,0.62451171875,0.4921875,0.62451171875,3.5541182956928905,3.0511892310029403,2.8282400228425546,-0.6931875984615601,2.561045292598816,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,2.1936063880414114,3.1769186460847734,0.983312258043362,3.5541182956928905,0.6194361726386233,2.317493622569136,2.1936063880414114,0.6194361726386233,3.3035498672083947,3.1769186460847734,0.6331561056181063,3.6844940316707713,3.5563077651551405,0.6409313325781552,5.350523473915369,5.231561830873278,0.5948082152104565,3.865606222943392,3.7269992698937173,0.6930347652483717
WOW__TEST__STEGO__7548.pgm,7548.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\7548.pgm,0.9927952309111313,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.9940659331606164,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.9867261125456144,0.50048828125,0.548828125,0.50048828125,0.548828125,0.03155901917057399,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.23863889487701548,0.4921875,0.62451171875,0.4921875,0.62451171875,3.5611003417661458,3.07004313178255,2.8024973489621425,-0.606578095960883,-0.05554023211021215,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,2.6257473897630326,3.25082651391076,0.6250791241477276,3.5611003417661458,0.6184195306467628,2.749431295892385,2.6257473897630326,0.6184195306467628,3.3768512235392523,3.25082651391076,0.6301235481424596,3.973252637601113,3.8441743141046727,0.6453916174822009,5.267451977562433,5.1456928955861185,0.608795409881571,4.1756441077707365,4.020435702892656,0.7760420243904019
WOW__TEST__STEGO__450.pgm,450.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\450.pgm,0.5144612976347093,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5090779818091946,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5084830726270853,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5254144805675072,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5147967036176525,0.4921875,0.62451171875,0.4921875,0.62451171875,1.527873726775265,1.16549567997374,1.0272535894287707,1.2336375772145238,0.9046517872995269,S-UNIWARD|MiPOD,AMBIGUOUS,S-UNIWARD,MiPOD,1.0831132485177537,1.155480617819562,0.07236736930180832,1.527873726775265,1.0,1.9839528497021908,1.7844031951890758,0.9977482725655755,1.2831132485177537,1.0831132485177537,1.0,1.6259912663331721,1.4259912663331722,1.0,1.5692194032787676,1.3697023294308348,0.9975853692396645,1.355480617819562,1.155480617819562,1.0
WOW__TEST__STEGO__637.pgm,637.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\637.pgm,0.9929335990367509,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.8547634457774486,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.7424217173984088,0.50048828125,0.548828125,0.50048828125,0.548828125,0.15882561045580992,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.687734866468537,0.4921875,0.62451171875,0.4921875,0.62451171875,3.5616884952215138,2.5230023307957246,1.8956365758591314,-0.13235437209592665,1.505952342869752,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,1.1213281638649566,2.2267407689661844,1.1054126051012279,3.5616884952215138,0.6183339670152368,1.244994957268004,1.1213281638649566,0.6183339670152368,2.3716026122494753,2.2267407689661844,0.7243092164164555,3.0799134094292353,2.915114866802874,0.8239927131318076,4.377751304621371,4.23946711042851,0.6914209709643028,3.1623180079912694,2.974571213197128,0.9387339739707058
WOW__TEST__STEGO__7056.pgm,7056.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\7056.pgm,0.9903290072365529,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.9864678513445929,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.9889278398167658,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008187909901696235,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.9847524093785005,0.4921875,0.62451171875,0.4921875,0.62451171875,3.5506173062446504,3.040205468143651,2.810670186352462,-0.6936640653140022,2.53867300221814,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,2.171583906335432,3.1551177556338486,0.9835338492984165,3.5506173062446504,0.6199465737750338,2.295573221090439,2.171583906335432,0.6199465737750338,3.2821036583044227,3.1551177556338486,0.6349295133528712,3.6670265397658213,3.5382320989035896,0.6439722043111575,5.332288067051726,5.213341634493011,0.5947321627935773,3.847604638385459,3.7081029539604824,0.6975084221248828
WOW__TEST__STEGO__9661.pgm,9661.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\9661.pgm,0.9876638995791303,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.9893885786697612,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.992767236196521,0.50048828125,0.548828125,0.50048828125,0.548828125,0.9588471107825551,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.9869292152258129,0.4921875,0.62451171875,0.4921875,0.62451171875,3.539288885984413,3.0516751629455054,2.824922070634346,2.8487042955843713,2.5462416877169334,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,2.742694058597598,3.622462548266162,0.8797684896685638,3.539288885984413,0.6216010017710993,2.867014258951818,2.742694058597598,0.6216010017710993,3.749078100849981,3.622462548266162,0.6330777629190971,4.280971342020449,4.152670446004771,0.6415044800783907,4.4871608758790815,4.354498138356275,0.6633136876140312,4.2376155075517605,4.098417160935612,0.6959917330807421
WOW__TEST__STEGO__7451.pgm,7451.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\7451.pgm,0.9909797204985978,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.987711402470298,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.9926826025287876,0.50048828125,0.548828125,0.50048828125,0.548828125,0.007460643463940165,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.4058607701104689,0.4921875,0.62451171875,0.4921875,0.62451171875,3.553383255785497,3.0450888928164823,2.8246079094695213,-0.6963740223802813,0.5258849711173136,WOW|RANGE_WEAK,AMBIGUOUS,WOW,S-UNIWARD,2.336339969925524,3.079384518486207,0.7430445485606829,3.553383255785497,0.6195432975405459,2.460248629433633,2.336339969925524,0.6195432975405459,3.206212605840611,3.079384518486207,0.63414043677202,3.7645550315516343,3.6362432765010393,0.6415587752529746,5.206960110687249,5.088100152428085,0.5942997912958202,3.975566703563403,3.792107808617259,0.917294474730719
WOW__TEST__STEGO__3439.pgm,3439.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\3439.pgm,0.5105651385997119,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5046080238285706,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5030688854120712,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5041083364949797,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5136913396703219,0.4921875,0.62451171875,0.4921875,0.62451171875,1.5113125470322086,1.1479421571326722,1.0071560631416416,1.1542461290643022,0.9008084716040183,S-UNIWARD|MiPOD,AMBIGUOUS,S-UNIWARD,MiPOD,1.064945023214014,1.1247599845072263,0.05981496129321218,1.5113125470322086,0.9992372211423844,1.990466285630681,1.790466285630681,1.0,1.264792467442491,1.064945023214014,0.9992372211423844,1.5931244278910326,1.3931244278910326,1.0,1.607591340393728,1.4122802404156056,0.9765554998906121,1.3247599845072262,1.1247599845072263,1.0
WOW__TEST__STEGO__3664.pgm,3664.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\3664.pgm,0.7884203206608902,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.8523219402958387,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.3634209328406997,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5836780397069826,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.7025300573952054,0.4921875,0.62451171875,0.4921875,0.62451171875,2.6923756328356,2.5134145399431476,0.4887812293412961,1.4507406024603449,1.5573947566049098,WOW|S-UNIWARD,AMBIGUOUS,WOW,S-UNIWARD,1.5151298492690302,1.5571249042790347,0.041995055010004556,2.6923756328356,0.7586511012571368,1.6668600695204576,1.5151298492690302,0.7586511012571368,1.702340860655403,1.5571249042790347,0.7260797818818406,2.9373376126334643,2.7629553121730797,0.8719115023019227,2.8823548387001434,2.6892990571751816,0.9652789076248095,2.6957099092641155,2.5107204164431898,0.9249474641046279
WOW__TEST__STEGO__3390.pgm,3390.pgm,WOW,1,${BOSSBASE_ROOT}\stego\WOW\0.4bpp\stego\3390.pgm,0.6800292550948656,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5415300741064153,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.56727749903977,0.50048828125,0.548828125,0.50048828125,0.548828125,0.6595148131373801,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.6312533946017395,0.4921875,0.62451171875,0.4921875,0.62451171875,2.2316439472817207,1.2929350308242336,1.2454991881566544,1.7333253463344285,1.309568040798651,WOW|S-UNIWARD,AMBIGUOUS,WOW,S-UNIWARD,1.3817279936096527,1.4174359917683423,0.035707998158689636,2.2316439472817207,0.8455041317983428,1.5508288199693212,1.3817279936096527,0.8455041317983428,1.615583918199913,1.4174359917683423,0.9907396321578528,2.075458910243855,1.8791149554758608,0.9817197738399722,1.9770533731230706,1.7980969379745617,0.8947821757425448,1.8408054918714356,1.6421492922189458,0.9932809982624495
