sample_id,image_name,true_algo,is_stego,path,p_WOW,tau_WOW,tau_fpr10_WOW,range_low_WOW,range_high_WOW,p_S-UNIWARD,tau_S-UNIWARD,tau_fpr10_S-UNIWARD,range_low_S-UNIWARD,range_high_S-UNIWARD,p_HILL,tau_HILL,tau_fpr10_HILL,range_low_HILL,range_high_HILL,p_HUGO,tau_HUGO,tau_fpr10_HUGO,range_low_HUGO,range_high_HUGO,p_MiPOD,tau_MiPOD,tau_fpr10_MiPOD,range_low_MiPOD,range_high_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD,pred_algo,decision,top1_algo,top2_algo,top1_distance_eff,top2_distance_eff,distance_separation,max_z_evidence,top1_range_membership,D_WOW,Deff_WOW,G_WOW,D_S-UNIWARD,Deff_S-UNIWARD,G_S-UNIWARD,D_HILL,Deff_HILL,G_HILL,D_HUGO,Deff_HUGO,G_HUGO,D_MiPOD,Deff_MiPOD,G_MiPOD
COVER__TEST__52.pgm,52.pgm,COVER,0,<BOSSBASE_ROOT>\cover\52.pgm,0.009268013380914325,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.013584392513059033,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.010013570623173138,0.50048828125,0.548828125,0.50048828125,0.548828125,0.011419614645648401,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.009376237450848677,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6195223908777177,-0.7803074069935863,-0.8230710340114374,-0.6816220121511716,-0.8526792846438404,UNKNOWN,UNKNOWN_OR_COVER,HUGO,MiPOD,4.334833317314645,4.3652790982376874,0.030445780923042065,-0.6195223908777177,0.5966572705599372,5.895042137582347,5.771555827325164,0.6174315512859161,4.880031700490766,4.757725142268755,0.6115327911100528,4.612377881270462,4.489910752682135,0.6123356429416346,4.454164771426633,4.334833317314645,0.5966572705599372,4.488688352662595,4.3652790982376874,0.617046272124538
COVER__TEST__7548.pgm,7548.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7548.pgm,0.01128807389923099,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.010408314101072437,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.010368156650788152,0.50048828125,0.548828125,0.50048828125,0.548828125,0.009090383313658499,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.008711384457705508,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6109358354945348,-0.7927798653906217,-0.8217548065283391,-0.6903012479572407,-0.8549909575999953,UNKNOWN,UNKNOWN_OR_COVER,HUGO,MiPOD,4.344618625408748,4.370851415083974,0.02623278967522591,-0.6109358354945348,0.5952691350228722,5.898103010534412,5.774366998335721,0.6186800609934549,4.886759703561389,4.7648409843290445,0.6095935961617236,4.617113653890275,4.494603092469426,0.6125528071042459,4.463672452413323,4.344618625408748,0.5952691350228722,4.494178647765918,4.370851415083974,0.6166361634097182
COVER__TEST__450.pgm,450.pgm,COVER,0,<BOSSBASE_ROOT>\cover\450.pgm,0.5159857608291253,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5091313698625539,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5065570886611804,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5232224162319983,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5140572686144013,0.4921875,0.62451171875,0.4921875,0.62451171875,1.5343536750390847,1.1657053348336168,1.020104314413673,1.2254694562517587,0.9020807950388631,S-UNIWARD|MiPOD,AMBIGUOUS,S-UNIWARD,MiPOD,1.0814734249092979,1.1596582363064487,0.07818481139715083,1.5343536750390847,1.0,1.9811079939425873,1.7818623137755152,0.9962284008353607,1.2814734249092978,1.0814734249092979,1.0,1.6297622520659627,1.4297622520659627,1.0,1.5787513388186598,1.379671140228361,0.9954009929514942,1.3596582363064487,1.1596582363064487,1.0
COVER__TEST__637.pgm,637.pgm,COVER,0,<BOSSBASE_ROOT>\cover\637.pgm,0.35644665867004166,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.23144047331530365,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5974904630158353,0.50048828125,0.548828125,0.50048828125,0.548828125,0.10521053670308635,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5866412601032307,0.4921875,0.62451171875,0.4921875,0.62451171875,0.8562099639715612,0.07521331758689,1.3576500639219422,-0.3321361032913975,1.1544530516203688,HILL|MiPOD,AMBIGUOUS,HILL,MiPOD,1.298745828031945,1.3381478259089645,0.03940199787701948,1.3576500639219422,0.952502699355912,2.9886388867394977,2.81389717563805,0.8737085555072371,2.386009737951321,2.2339327722313747,0.7603848285997308,1.4892463679031276,1.298745828031945,0.952502699355912,2.8581359837915143,2.727070657615928,0.6553266308779321,1.5381478259089645,1.3381478259089645,1.0
COVER__TEST__7056.pgm,7056.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7056.pgm,0.010091315485195006,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.08882029240011771,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007260866498285615,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008985428752560176,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.010489091259938018,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6160228278441368,-0.4848560643052557,-0.833289103929153,-0.6906923320767887,-0.8488099269344558,UNKNOWN,UNKNOWN_OR_COVER,HUGO,MiPOD,4.229046381238571,4.2562295432818695,0.027183162043298736,-0.4848560643052557,0.5952066620905373,5.768943427825522,5.645355409166629,0.6179400932944666,4.71137437651505,4.5795109729650205,0.6593170177501474,4.506436344316687,4.384305867933852,0.6106523819141725,4.348087713656678,4.229046381238571,0.5952066620905373,4.379776210611697,4.2562295432818695,0.6177333366491353
COVER__TEST__9661.pgm,9661.pgm,COVER,0,<BOSSBASE_ROOT>\cover\9661.pgm,0.01028830113371619,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.014227046103179024,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007176881945656949,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008219693061967886,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.008093289897373068,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6151855122462216,-0.7777837066541279,-0.8336008555711145,-0.69354563416512,-0.8571400529552137,UNKNOWN,UNKNOWN_OR_COVER,HUGO,MiPOD,4.3469791237189925,4.374744309216153,0.02776518549716034,-0.6151855122462216,0.5947510655616193,5.9007311936113895,5.777118827488519,0.6180618306143503,4.886311250801115,4.7639260665684295,0.6119259211634255,4.621591838527584,4.499471618787465,0.6106010987005948,4.465929336831317,4.3469791237189925,0.5947510655616193,4.497995337559605,4.374744309216153,0.6162551417172586
COVER__TEST__7451.pgm,7451.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7451.pgm,0.00912563738918052,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.009303949868393646,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007204769088868756,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008677716704989246,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.004645557549716042,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.620127580339703,-0.7971167032014503,-0.8334973381692379,-0.6918389358445454,-0.8691277099415501,UNKNOWN,UNKNOWN_OR_COVER,HUGO,MiPOD,4.360316626996403,4.391232065526614,0.030915438530210615,-0.620127580339703,0.5950235380060062,5.917272226511451,5.793803496488625,0.6173436501141307,4.905069283327083,4.783285132447638,0.6089207543972263,4.637180477238349,4.515056851866687,0.6106181268583117,4.479321334597604,4.360316626996403,0.5950235380060062,4.514058889005386,4.391232065526614,0.6141341173938608
COVER__TEST__3439.pgm,3439.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3439.pgm,0.5062862898382244,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5039443151507156,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.49808693865660975,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5030593490270622,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5112514571810676,0.4921875,0.62451171875,0.4921875,0.62451171875,1.493124690018206,1.1453357734738001,0.9886630184975062,1.1503373676344577,0.8923250768915414,S-UNIWARD|MiPOD,AMBIGUOUS,S-UNIWARD,MiPOD,1.0712228420267647,1.128564918568748,0.05734207654198342,1.493124690018206,0.9985742387653924,2.01387664521305,1.81387664521305,1.0,1.2709376897798432,1.0712228420267647,0.9985742387653924,1.5999006019521276,1.4003802942874772,0.9976015383232512,1.5969487829517741,1.4018424544497408,0.975531642510167,1.328564918568748,1.128564918568748,1.0
COVER__TEST__3664.pgm,3664.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3664.pgm,0.014785407692390527,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.12442563335989186,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.12896329929010264,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5198260252465047,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.42841274065511853,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.5960699193320497,-0.3450339074727756,-0.38152824950980135,1.2128137453964858,0.6042974637340746,HUGO,ATTRIBUTED,HUGO,MiPOD,2.2090629331254825,2.943773542160279,0.7347106090347966,1.2128137453964858,0.9920259567078049,4.838943600862855,4.714774084915477,0.6208475797368905,3.7400887016962168,3.6034456715178997,0.6832151508915847,3.4217959789669705,3.283859623764682,0.6896817760114415,2.4074681244670435,2.2090629331254825,0.9920259567078049,3.131416802197716,2.943773542160279,0.938216300187184
COVER__TEST__3390.pgm,3390.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3390.pgm,0.5336708866897778,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.40874869317441304,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5581463728858037,0.50048828125,0.548828125,0.50048828125,0.548828125,0.6520198770383038,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.6160122621434994,0.4921875,0.62451171875,0.4921875,0.62451171875,1.609526825191831,0.7715026117362445,1.2116043410406314,1.7053975416282596,1.256575102377296,HUGO|MiPOD,AMBIGUOUS,HUGO,MiPOD,1.242679220556089,1.270202575278556,0.02752335472246692,1.7053975416282596,0.9015137056541744,2.1270348637796435,1.9312818930086404,0.9787648538550153,1.776306295311832,1.5947265426183872,0.9078987634672246,1.7630284795777742,1.564883473087893,0.990725032449405,1.422981961686924,1.242679220556089,0.9015137056541744,1.470202575278556,1.270202575278556,1.0
