sample_id,image_name,true_algo,is_stego,path,p_WOW,tau_WOW,tau_fpr10_WOW,range_low_WOW,range_high_WOW,p_S-UNIWARD,tau_S-UNIWARD,tau_fpr10_S-UNIWARD,range_low_S-UNIWARD,range_high_S-UNIWARD,p_HILL,tau_HILL,tau_fpr10_HILL,range_low_HILL,range_high_HILL,p_HUGO,tau_HUGO,tau_fpr10_HUGO,range_low_HUGO,range_high_HUGO,p_MiPOD,tau_MiPOD,tau_fpr10_MiPOD,range_low_MiPOD,range_high_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD,pred_algo,decision,decision_stage,candidate_algorithms,num_candidates,max_z_evidence,top1_mahal_algo,top2_mahal_algo,top1_mahal_norm,top2_mahal_norm,mahal_norm_separation,top1_cos_algo,top2_cos_algo,top1_cosine,top2_cosine,cosine_separation,M_WOW,Mn_WOW,COS_WOW,M_S-UNIWARD,Mn_S-UNIWARD,COS_S-UNIWARD,M_HILL,Mn_HILL,COS_HILL,M_HUGO,Mn_HUGO,COS_HUGO,M_MiPOD,Mn_MiPOD,COS_MiPOD
COVER__TEST__52.pgm,52.pgm,COVER,0,<BOSSBASE_ROOT>\cover\52.pgm,0.009268013380914325,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.013584392513059033,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.010013570623173138,0.50048828125,0.548828125,0.50048828125,0.548828125,0.011419614645648401,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.009376237450848677,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6195223908777177,-0.7803074069935863,-0.8230710340114374,-0.6816220121511716,-0.8526792846438404,UNKNOWN,UNKNOWN_OR_COVER,evidence_rejection,,0,-0.6195223908777177,MiPOD,WOW,1.0039186799675512,1.0305354461051424,0.02661676613759112,HUGO,WOW,-0.8726177945122421,-0.9168315888433217,0.04421379433107964,3.6385518131237946,1.0305354461051424,-0.9168315888433217,3.302554862704201,1.070412970859101,-0.9440032484495893,3.3227196701796977,1.0747871519517265,-0.9385069583230627,3.2994853079338826,1.0721570630989483,-0.8726177945122421,3.0696960728307574,1.0039186799675512,-0.9693431287000411
COVER__TEST__7548.pgm,7548.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7548.pgm,0.01128807389923099,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.010408314101072437,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.010368156650788152,0.50048828125,0.548828125,0.50048828125,0.548828125,0.009090383313658499,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.008711384457705508,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6109358354945348,-0.7927798653906217,-0.8217548065283391,-0.6903012479572407,-0.8549909575999953,UNKNOWN,UNKNOWN_OR_COVER,evidence_rejection,,0,-0.6109358354945348,MiPOD,WOW,1.0052962508474965,1.029775607654598,0.02447935680710156,HUGO,WOW,-0.8754675899391416,-0.9141228824269119,0.03865529248777022,3.635869021782305,1.029775607654598,-0.9141228824269119,3.313879862393223,1.0740835916560492,-0.94416490715198,3.3253085474442825,1.0756245659673977,-0.9368653509931294,3.3058359901562815,1.074220696715946,-0.8754675899391416,3.0739082904182924,1.0052962508474965,-0.9682787259903328
COVER__TEST__450.pgm,450.pgm,COVER,0,<BOSSBASE_ROOT>\cover\450.pgm,0.5159857608291253,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5091313698625539,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5065570886611804,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5232224162319983,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5140572686144013,0.4921875,0.62451171875,0.4921875,0.62451171875,1.5343536750390847,1.1657053348336168,1.020104314413673,1.2254694562517587,0.9020807950388631,WOW|S-UNIWARD,AMBIGUOUS,cosine_insufficient_separation,"WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,1.5343536750390847,S-UNIWARD,MiPOD,0.34006240576530844,0.37368473907641575,0.03362233331110731,WOW,S-UNIWARD,0.9469673475116284,0.9252980822389767,0.021669265272651672,1.322575130418089,0.3745887435536706,0.9469673475116284,1.0491976296603935,0.34006240576530844,0.9252980822389767,1.2256471916008218,0.39645530923980626,0.8396131696448887,1.2550265041556503,0.4078167972354026,0.8422023531071497,1.1426210099574363,0.37368473907641575,0.8790743193082875
COVER__TEST__637.pgm,637.pgm,COVER,0,<BOSSBASE_ROOT>\cover\637.pgm,0.35644665867004166,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.23144047331530365,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5974904630158353,0.50048828125,0.548828125,0.50048828125,0.548828125,0.10521053670308635,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5866412601032307,0.4921875,0.62451171875,0.4921875,0.62451171875,0.8562099639715612,0.07521331758689,1.3576500639219422,-0.3321361032913975,1.1544530516203688,HILL,ATTRIBUTED,cosine_tiebreaker,"WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,1.3576500639219422,HILL,MiPOD,0.363204748851734,0.40395907587609425,0.04075432702436027,HILL,MiPOD,0.8953223726677562,0.8513217687429722,0.044000603924784,2.3496384515980524,0.6654806181870941,0.7889003918254985,2.4346291920567373,0.789103822570823,0.6823627407839975,1.1228526142323458,0.363204748851734,0.8953223726677562,2.7819274417027935,0.9039783109439463,0.36686916748935716,1.2351912695172371,0.40395907587609425,0.8513217687429722
COVER__TEST__7056.pgm,7056.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7056.pgm,0.010091315485195006,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.08882029240011771,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007260866498285615,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008985428752560176,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.010489091259938018,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6160228278441368,-0.4848560643052557,-0.833289103929153,-0.6906923320767887,-0.8488099269344558,UNKNOWN,UNKNOWN_OR_COVER,evidence_rejection,,0,-0.4848560643052557,MiPOD,S-UNIWARD,1.000904275041711,1.000922402052396,1.8127010684931832e-05,HUGO,S-UNIWARD,-0.8694480072630063,-0.8860719743949913,0.016623967131984996,3.6312039780801917,1.0284543421787797,-0.8978369563987318,3.0881549795072765,1.000922402052396,-0.8860719743949913,3.3243977963944724,1.0753299688830433,-0.938265838295187,3.3110675798600417,1.0759206848439835,-0.8694480072630063,3.0604788850769915,1.000904275041711,-0.9676299154766921
COVER__TEST__9661.pgm,9661.pgm,COVER,0,<BOSSBASE_ROOT>\cover\9661.pgm,0.01028830113371619,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.014227046103179024,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007176881945656949,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008219693061967886,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.008093289897373068,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.6151855122462216,-0.7777837066541279,-0.8336008555711145,-0.69354563416512,-0.8571400529552137,UNKNOWN,UNKNOWN_OR_COVER,evidence_rejection,,0,-0.6151855122462216,MiPOD,WOW,1.0059997650976904,1.0309355541344907,0.02493578903680027,HUGO,WOW,-0.8751248708477599,-0.914103998859783,0.03897912801202308,3.6399644901948576,1.0309355541344907,-0.914103998859783,3.305066880264415,1.0712271575391905,-0.941374873893455,3.334494423545317,1.0785958854263995,-0.9384784052391202,3.3107487696449915,1.075817088497295,-0.8751248708477599,3.0760594356993725,1.0059997650976904,-0.9692834296139571
COVER__TEST__7451.pgm,7451.pgm,COVER,0,<BOSSBASE_ROOT>\cover\7451.pgm,0.00912563738918052,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.009303949868393646,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.007204769088868756,0.50048828125,0.548828125,0.50048828125,0.548828125,0.008677716704989246,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.004645557549716042,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.620127580339703,-0.7971167032014503,-0.8334973381692379,-0.6918389358445454,-0.8691277099415501,UNKNOWN,UNKNOWN_OR_COVER,evidence_rejection,,0,-0.620127580339703,MiPOD,WOW,1.0102557238141725,1.0329022740042324,0.0226465501900599,HUGO,WOW,-0.8735018385403572,-0.9151051301541732,0.04160329161381593,3.646908464975154,1.0329022740042324,-0.9151051301541732,3.321669007876333,1.0766081832839387,-0.9441508553862547,3.3396392069700935,1.0802600484234015,-0.9384662234012846,3.3122228882236553,1.0762960985544574,-0.8735018385403572,3.0890729397000523,1.0102557238141725,-0.9695165622258514
COVER__TEST__3439.pgm,3439.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3439.pgm,0.5062862898382244,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.5039443151507156,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.49808693865660975,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5030593490270622,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.5112514571810676,0.4921875,0.62451171875,0.4921875,0.62451171875,1.493124690018206,1.1453357734738001,0.9886630184975062,1.1503373676344577,0.8923250768915414,WOW|S-UNIWARD,AMBIGUOUS,cosine_insufficient_separation,"WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,1.493124690018206,S-UNIWARD,MiPOD,0.33873939147737675,0.3679389067413996,0.02919951526402287,WOW,S-UNIWARD,0.9518984585949573,0.9307423968321968,0.021156061762760414,1.3431899577498734,0.3804274154681711,0.9518984585949573,1.0451157216594757,0.33873939147737675,0.9307423968321968,1.2167408904764516,0.39357442280638394,0.8447095112676564,1.2921287310544092,0.4198730456843808,0.8364114586393349,1.125051898727717,0.3679389067413996,0.8833361575036253
COVER__TEST__3664.pgm,3664.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3664.pgm,0.014785407692390527,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.12442563335989186,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.12896329929010264,0.50048828125,0.548828125,0.50048828125,0.548828125,0.5198260252465047,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.42841274065511853,0.4921875,0.62451171875,0.4921875,0.62451171875,-0.5960699193320497,-0.3450339074727756,-0.38152824950980135,1.2128137453964858,0.6042974637340746,HUGO,ATTRIBUTED,cosine_tiebreaker,"S-UNIWARD,HILL,HUGO,MiPOD",4,1.2128137453964858,HUGO,MiPOD,0.5312748134453837,0.623376003020081,0.09210118957469726,HUGO,MiPOD,0.5580909227907791,0.0740490053918083,0.4840419173989708,3.5483263476913685,1.00498117477827,-0.1796652738310439,2.7553214207545227,0.8930455087872765,-0.09449972770840485,2.732913941530601,0.8840049969030302,-0.03492163922607576,1.6349595612155021,0.5312748134453837,0.5580909227907791,1.9061054511203317,0.623376003020081,0.0740490053918083
COVER__TEST__3390.pgm,3390.pgm,COVER,0,<BOSSBASE_ROOT>\cover\3390.pgm,0.5336708866897778,0.491455078125,0.51220703125,0.491455078125,0.51220703125,0.40874869317441304,0.50537109375,0.5322265625,0.50537109375,0.5322265625,0.5581463728858037,0.50048828125,0.548828125,0.50048828125,0.548828125,0.6520198770383038,0.52783203125,0.54833984375,0.52783203125,0.54833984375,0.6160122621434994,0.4921875,0.62451171875,0.4921875,0.62451171875,1.609526825191831,0.7715026117362445,1.2116043410406314,1.7053975416282596,1.256575102377296,WOW|HUGO,AMBIGUOUS,cosine_insufficient_separation,"WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,1.7053975416282596,HUGO,MiPOD,0.3622910427521582,0.3803078910951801,0.01801684834302192,WOW,HUGO,0.889321910237213,0.8854148072756577,0.0039071029615552755,1.4718566879609887,0.4168692838342464,0.889321910237213,1.5465940020498352,0.5012768445249921,0.8421323422967243,1.3361298584140857,0.43219270588808795,0.8280153056078224,1.1149243090389194,0.3622910427521582,0.8854148072756577,1.162872713753225,0.3803078910951801,0.8758668202447824
