sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD
COVER__BOWS2__0.2bpp__1.pgm,1.pgm,COVER,0,${BOWS2_ROOT}/cover/1.pgm,0.007575989,0.49853516,0.7084961,0.515625,0.40063477
COVER__BOWS2__0.2bpp__10.pgm,10.pgm,COVER,0,${BOWS2_ROOT}/cover/10.pgm,0.42211914,0.49902344,0.56152344,0.5097656,0.5161133
COVER__BOWS2__0.2bpp__100.pgm,100.pgm,COVER,0,${BOWS2_ROOT}/cover/100.pgm,0.54052734,0.49902344,0.50390625,0.50927734,0.51123047
COVER__BOWS2__0.2bpp__1000.pgm,1000.pgm,COVER,0,${BOWS2_ROOT}/cover/1000.pgm,0.5805664,0.49926758,0.515625,0.51416016,0.49389648
COVER__BOWS2__0.2bpp__10000.pgm,10000.pgm,COVER,0,${BOWS2_ROOT}/cover/10000.pgm,0.4794922,0.50146484,0.51123047,0.51708984,0.47998047
COVER__BOWS2__0.2bpp__1001.pgm,1001.pgm,COVER,0,${BOWS2_ROOT}/cover/1001.pgm,0.45336914,0.49902344,0.49975586,0.50878906,0.5048828
COVER__BOWS2__0.2bpp__1002.pgm,1002.pgm,COVER,0,${BOWS2_ROOT}/cover/1002.pgm,0.48754883,0.49951172,0.4975586,0.5131836,0.51708984
COVER__BOWS2__0.2bpp__1003.pgm,1003.pgm,COVER,0,${BOWS2_ROOT}/cover/1003.pgm,0.23754883,0.49975586,0.5229492,0.51660156,0.5151367
COVER__BOWS2__0.2bpp__1004.pgm,1004.pgm,COVER,0,${BOWS2_ROOT}/cover/1004.pgm,0.49804688,0.49926758,0.49926758,0.5058594,0.5029297
COVER__BOWS2__0.2bpp__1005.pgm,1005.pgm,COVER,0,${BOWS2_ROOT}/cover/1005.pgm,0.5019531,0.49975586,0.5024414,0.5097656,0.50634766
COVER__BOWS2__0.2bpp__1006.pgm,1006.pgm,COVER,0,${BOWS2_ROOT}/cover/1006.pgm,0.36669922,0.49902344,0.32006836,0.5131836,0.45043945
COVER__BOWS2__0.2bpp__1007.pgm,1007.pgm,COVER,0,${BOWS2_ROOT}/cover/1007.pgm,0.5419922,0.49902344,0.53515625,0.51220703,0.5107422
COVER__BOWS2__0.2bpp__1008.pgm,1008.pgm,COVER,0,${BOWS2_ROOT}/cover/1008.pgm,0.5,0.49926758,0.5004883,0.50634766,0.5024414
COVER__BOWS2__0.2bpp__1009.pgm,1009.pgm,COVER,0,${BOWS2_ROOT}/cover/1009.pgm,0.9741211,0.49926758,0.8769531,0.51464844,0.8041992
COVER__BOWS2__0.2bpp__101.pgm,101.pgm,COVER,0,${BOWS2_ROOT}/cover/101.pgm,0.49975586,0.49926758,0.50927734,0.5107422,0.5620117
COVER__BOWS2__0.2bpp__1010.pgm,1010.pgm,COVER,0,${BOWS2_ROOT}/cover/1010.pgm,0.18908691,0.5019531,0.0034561157,0.5175781,0.07476807
COVER__BOWS2__0.2bpp__1011.pgm,1011.pgm,COVER,0,${BOWS2_ROOT}/cover/1011.pgm,0.5058594,0.49926758,0.5024414,0.50634766,0.5053711
COVER__BOWS2__0.2bpp__1012.pgm,1012.pgm,COVER,0,${BOWS2_ROOT}/cover/1012.pgm,0.48486328,0.49902344,0.50439453,0.5078125,0.49926758
COVER__BOWS2__0.2bpp__1013.pgm,1013.pgm,COVER,0,${BOWS2_ROOT}/cover/1013.pgm,0.50341797,0.49902344,0.5415039,0.5131836,0.48754883
COVER__BOWS2__0.2bpp__1014.pgm,1014.pgm,COVER,0,${BOWS2_ROOT}/cover/1014.pgm,0.50390625,0.49926758,0.49829102,0.5073242,0.50146484
COVER__BOWS2__0.2bpp__1015.pgm,1015.pgm,COVER,0,${BOWS2_ROOT}/cover/1015.pgm,0.5024414,0.49926758,0.5053711,0.50683594,0.50341797
COVER__BOWS2__0.2bpp__1016.pgm,1016.pgm,COVER,0,${BOWS2_ROOT}/cover/1016.pgm,0.5058594,0.49902344,0.5019531,0.5073242,0.5019531
COVER__BOWS2__0.2bpp__1017.pgm,1017.pgm,COVER,0,${BOWS2_ROOT}/cover/1017.pgm,0.5053711,0.49926758,0.5024414,0.50878906,0.5019531
COVER__BOWS2__0.2bpp__1018.pgm,1018.pgm,COVER,0,${BOWS2_ROOT}/cover/1018.pgm,0.008743286,0.4970703,0.057281494,0.5175781,0.01763916
COVER__BOWS2__0.2bpp__1019.pgm,1019.pgm,COVER,0,${BOWS2_ROOT}/cover/1019.pgm,0.49975586,0.49926758,0.49975586,0.50634766,0.50341797
COVER__BOWS2__0.2bpp__102.pgm,102.pgm,COVER,0,${BOWS2_ROOT}/cover/102.pgm,0.49853516,0.49926758,0.52685547,0.5102539,0.51904297
COVER__BOWS2__0.2bpp__1020.pgm,1020.pgm,COVER,0,${BOWS2_ROOT}/cover/1020.pgm,0.60058594,0.5,0.5673828,0.51171875,0.7426758
COVER__BOWS2__0.2bpp__1021.pgm,1021.pgm,COVER,0,${BOWS2_ROOT}/cover/1021.pgm,0.49926758,0.49926758,0.5,0.5058594,0.5029297
COVER__BOWS2__0.2bpp__1022.pgm,1022.pgm,COVER,0,${BOWS2_ROOT}/cover/1022.pgm,0.5776367,0.49926758,0.4885254,0.51171875,0.50927734
COVER__BOWS2__0.2bpp__1023.pgm,1023.pgm,COVER,0,${BOWS2_ROOT}/cover/1023.pgm,0.46948242,0.49975586,0.52490234,0.51416016,0.61376953
COVER__BOWS2__0.2bpp__1024.pgm,1024.pgm,COVER,0,${BOWS2_ROOT}/cover/1024.pgm,0.49804688,0.49926758,0.50097656,0.50683594,0.5029297
COVER__BOWS2__0.2bpp__1025.pgm,1025.pgm,COVER,0,${BOWS2_ROOT}/cover/1025.pgm,0.50439453,0.49902344,0.50390625,0.5097656,0.5048828
COVER__BOWS2__0.2bpp__1026.pgm,1026.pgm,COVER,0,${BOWS2_ROOT}/cover/1026.pgm,0.4975586,0.49926758,0.453125,0.5131836,0.49658203
COVER__BOWS2__0.2bpp__1027.pgm,1027.pgm,COVER,0,${BOWS2_ROOT}/cover/1027.pgm,0.49487305,0.49902344,0.50341797,0.50683594,0.5048828
COVER__BOWS2__0.2bpp__1028.pgm,1028.pgm,COVER,0,${BOWS2_ROOT}/cover/1028.pgm,0.46264648,0.5004883,0.4777832,0.515625,0.7949219
COVER__BOWS2__0.2bpp__1029.pgm,1029.pgm,COVER,0,${BOWS2_ROOT}/cover/1029.pgm,0.49780273,0.4987793,0.5,0.50634766,0.5024414
COVER__BOWS2__0.2bpp__103.pgm,103.pgm,COVER,0,${BOWS2_ROOT}/cover/103.pgm,0.50146484,0.49975586,0.49023438,0.5131836,0.4892578
COVER__BOWS2__0.2bpp__1030.pgm,1030.pgm,COVER,0,${BOWS2_ROOT}/cover/1030.pgm,0.49658203,0.49926758,0.50634766,0.5078125,0.50097656
COVER__BOWS2__0.2bpp__1031.pgm,1031.pgm,COVER,0,${BOWS2_ROOT}/cover/1031.pgm,0.99072266,0.4987793,0.9326172,0.5102539,0.94970703
COVER__BOWS2__0.2bpp__1032.pgm,1032.pgm,COVER,0,${BOWS2_ROOT}/cover/1032.pgm,0.5004883,0.4987793,0.5,0.50634766,0.50097656
COVER__BOWS2__0.2bpp__1033.pgm,1033.pgm,COVER,0,${BOWS2_ROOT}/cover/1033.pgm,0.5029297,0.49926758,0.5029297,0.5078125,0.50341797
COVER__BOWS2__0.2bpp__1034.pgm,1034.pgm,COVER,0,${BOWS2_ROOT}/cover/1034.pgm,0.50439453,0.4987793,0.49951172,0.50878906,0.49780273
COVER__BOWS2__0.2bpp__1035.pgm,1035.pgm,COVER,0,${BOWS2_ROOT}/cover/1035.pgm,0.50439453,0.49926758,0.5,0.50878906,0.5019531
COVER__BOWS2__0.2bpp__1036.pgm,1036.pgm,COVER,0,${BOWS2_ROOT}/cover/1036.pgm,0.13378906,0.49975586,0.4597168,0.515625,0.51123047
COVER__BOWS2__0.2bpp__1037.pgm,1037.pgm,COVER,0,${BOWS2_ROOT}/cover/1037.pgm,0.5097656,0.49926758,0.49926758,0.50927734,0.50097656
COVER__BOWS2__0.2bpp__1038.pgm,1038.pgm,COVER,0,${BOWS2_ROOT}/cover/1038.pgm,0.0925293,0.49902344,0.5341797,0.51123047,0.50927734
COVER__BOWS2__0.2bpp__1039.pgm,1039.pgm,COVER,0,${BOWS2_ROOT}/cover/1039.pgm,0.8334961,0.49951172,0.7104492,0.5151367,0.6088867
COVER__BOWS2__0.2bpp__104.pgm,104.pgm,COVER,0,${BOWS2_ROOT}/cover/104.pgm,0.54785156,0.49975586,0.55126953,0.5107422,0.515625
COVER__BOWS2__0.2bpp__1040.pgm,1040.pgm,COVER,0,${BOWS2_ROOT}/cover/1040.pgm,0.5317383,0.49951172,0.4963379,0.51416016,0.5361328
COVER__BOWS2__0.2bpp__1041.pgm,1041.pgm,COVER,0,${BOWS2_ROOT}/cover/1041.pgm,0.50146484,0.4987793,0.49951172,0.5053711,0.5029297
COVER__BOWS2__0.2bpp__1042.pgm,1042.pgm,COVER,0,${BOWS2_ROOT}/cover/1042.pgm,0.49560547,0.49926758,0.50097656,0.5073242,0.50390625
COVER__BOWS2__0.2bpp__1043.pgm,1043.pgm,COVER,0,${BOWS2_ROOT}/cover/1043.pgm,0.47509766,0.49902344,0.5024414,0.5083008,0.5029297
COVER__BOWS2__0.2bpp__1044.pgm,1044.pgm,COVER,0,${BOWS2_ROOT}/cover/1044.pgm,0.50097656,0.49902344,0.5058594,0.5073242,0.50390625
COVER__BOWS2__0.2bpp__1045.pgm,1045.pgm,COVER,0,${BOWS2_ROOT}/cover/1045.pgm,0.50146484,0.49926758,0.5029297,0.5078125,0.5029297
COVER__BOWS2__0.2bpp__1046.pgm,1046.pgm,COVER,0,${BOWS2_ROOT}/cover/1046.pgm,0.5126953,0.49951172,0.5180664,0.51171875,0.5161133
COVER__BOWS2__0.2bpp__1047.pgm,1047.pgm,COVER,0,${BOWS2_ROOT}/cover/1047.pgm,0.6533203,0.49951172,0.51416016,0.51464844,0.51171875
COVER__BOWS2__0.2bpp__1048.pgm,1048.pgm,COVER,0,${BOWS2_ROOT}/cover/1048.pgm,0.5024414,0.49926758,0.50097656,0.50683594,0.50341797
COVER__BOWS2__0.2bpp__1049.pgm,1049.pgm,COVER,0,${BOWS2_ROOT}/cover/1049.pgm,0.49731445,0.49926758,0.5004883,0.50634766,0.5024414
