q_low,q_high,gamma,stego_top1_acc,stego_top2_acc,stego_candidate_acc,stego_unknown_rate,stego_mean_candidate_size,cover_unknown_rate,cover_mean_candidate_size,utility
10,90,0.9,0.4205333333333333,0.6478666666666667,0.904,0.0204,3.428533333333333,0.5213333333333333,1.6033333333333333,0.5968426666666667
10,90,0.95,0.4093333333333333,0.6317333333333334,0.8402666666666667,0.0464,3.0718666666666667,0.5653333333333334,1.4206666666666667,0.5847093333333334
25,75,0.7,0.42746666666666666,0.6562666666666667,0.9062666666666667,0.032266666666666666,3.638933333333333,0.512,1.9906666666666666,0.5719946666666668
25,90,0.8,0.3932,0.6072,0.8997333333333334,0.06853333333333333,3.8621333333333334,0.5726666666666667,1.7113333333333334,0.5508106666666668
25,75,0.8,0.38106666666666666,0.5906666666666667,0.7444,0.11693333333333333,2.6816,0.5773333333333334,1.616,0.5380746666666667
25,90,0.7,0.4206666666666667,0.644,0.9584,0.02,4.3890666666666664,0.51,2.058,0.5337120000000001
25,95,0.8,0.3893333333333333,0.6029333333333333,0.9017333333333334,0.06613333333333334,4.051466666666666,0.572,1.7186666666666666,0.5299573333333334
25,95,0.9,0.33813333333333334,0.5352,0.7630666666666667,0.15786666666666666,3.0342666666666664,0.6533333333333333,1.214,0.5296213333333334
25,90,0.9,0.34026666666666666,0.5356,0.7446666666666667,0.16346666666666668,2.9136,0.6533333333333333,1.2126666666666666,0.5257013333333334
25,95,0.7,0.416,0.6368,0.9586666666666667,0.019466666666666667,4.4596,0.51,2.0633333333333335,0.5255146666666667
25,75,0.6,0.44,0.6761333333333334,0.9664,0.0021333333333333334,4.263333333333334,0.29333333333333333,2.792,0.5134666666666666
40,90,0.6,0.34426666666666667,0.5681333333333334,0.9074666666666666,0.054933333333333334,4.294533333333334,0.5686666666666667,1.7706666666666666,0.505856
40,95,0.6,0.3449333333333333,0.5477333333333333,0.9085333333333333,0.0544,4.3432,0.568,1.776,0.5009493333333334
40,90,0.7,0.3138666666666667,0.5266666666666666,0.7889333333333334,0.12386666666666667,3.473733333333333,0.636,1.286,0.49928533333333347
40,95,0.7,0.3144,0.5065333333333333,0.7908,0.1232,3.6033333333333335,0.636,1.2886666666666666,0.4855999999999999
25,95,0.95,0.3006666666666667,0.47333333333333333,0.6552,0.2396,2.639866666666667,0.6946666666666667,0.9573333333333334,0.4773493333333333
25,90,0.95,0.30186666666666667,0.4704,0.6229333333333333,0.24773333333333333,2.3812,0.6946666666666667,0.9486666666666667,0.4761226666666667
25,90,0.6,0.4292,0.6557333333333333,0.9914666666666667,0.0004,4.7884,0.29333333333333333,2.854,0.47552533333333336
25,95,0.6,0.4245333333333333,0.6484,0.9916,0.0004,4.816533333333333,0.29333333333333333,2.858,0.47228266666666674
40,90,0.8,0.27,0.45586666666666664,0.6366666666666667,0.22946666666666668,2.6641333333333335,0.716,0.864,0.46017066666666673
40,95,0.8,0.2717333333333333,0.43706666666666666,0.6454666666666666,0.2268,2.8114666666666666,0.716,0.8693333333333333,0.4512906666666667
50,90,0.6,0.28186666666666665,0.44706666666666667,0.7338666666666667,0.12013333333333333,3.457333333333333,0.6526666666666666,1.122,0.44952000000000003
10,90,0.8,0.428,0.6584,0.9781333333333333,0.0002666666666666667,4.406,0.0,2.8533333333333335,0.44941333333333333
25,75,0.9,0.26466666666666666,0.42306666666666665,0.4945333333333333,0.3562666666666667,1.6246666666666667,0.6646666666666666,1.0786666666666667,0.4325066666666667
10,90,0.7,0.4281333333333333,0.6585333333333333,0.9949333333333333,0.0,4.822666666666667,0.0,3.9,0.4162133333333333
50,90,0.7,0.2324,0.378,0.5670666666666667,0.26053333333333334,2.5234666666666667,0.7413333333333333,0.7186666666666667,0.4125173333333334
10,90,0.6,0.4281333333333333,0.6585333333333333,0.9989333333333333,0.0,4.9372,0.0,4.45,0.40646933333333335
40,95,0.9,0.17573333333333332,0.27266666666666667,0.3732,0.5329333333333334,1.4614666666666667,0.9173333333333333,0.13666666666666666,0.38129066666666667
40,90,0.9,0.17333333333333334,0.2916,0.358,0.5350666666666667,1.35,0.9173333333333333,0.134,0.3794666666666666
50,90,0.8,0.17786666666666667,0.2693333333333333,0.3668,0.5002666666666666,1.4421333333333333,0.916,0.13866666666666666,0.37694400000000006
40,95,0.95,0.14973333333333333,0.22986666666666666,0.31533333333333335,0.6158666666666667,1.2188,0.9586666666666667,0.06266666666666666,0.3608106666666667
40,90,0.95,0.14693333333333333,0.24733333333333332,0.28786666666666666,0.6197333333333334,1.0308,0.9586666666666667,0.059333333333333335,0.355904
25,75,0.95,0.196,0.3132,0.32986666666666664,0.4918666666666667,1.0922666666666667,0.7126666666666667,0.7746666666666666,0.34132799999999996
50,90,0.9,0.10666666666666667,0.16386666666666666,0.15826666666666667,0.7049333333333333,0.6133333333333333,0.9866666666666667,0.017333333333333333,0.28200000000000003
50,90,0.95,0.07786666666666667,0.11186666666666667,0.1092,0.8208,0.384,0.9933333333333333,0.007333333333333333,0.26178666666666667
