sample_id,true_algo,ranked_list,candidate_set,candidate_size,rank1,rank2,rank3,rank4,rank5,top1_correct,top2_correct,top3_correct,top4_correct,top5_correct,candidate_correct,true_rank
WOW__TEST__STEGO__52.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7548.pgm,WOW,"S-UNIWARD,WOW,HILL,MiPOD,HUGO",S-UNIWARD,1,S-UNIWARD,WOW,HILL,MiPOD,HUGO,0,1,1,1,1,0,2
WOW__TEST__STEGO__450.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__637.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7056.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9661.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7451.pgm,WOW,"S-UNIWARD,WOW,HILL,MiPOD,HUGO","S-UNIWARD,WOW,HILL,MiPOD",4,S-UNIWARD,WOW,HILL,MiPOD,HUGO,0,1,1,1,1,1,2
WOW__TEST__STEGO__3439.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__3664.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HUGO,HILL","WOW,S-UNIWARD,MiPOD,HUGO,HILL",5,WOW,S-UNIWARD,MiPOD,HUGO,HILL,1,1,1,1,1,1,1
WOW__TEST__STEGO__3390.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__3272.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__6553.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
