evaluation_fold,algorithm,calibration_n,quantile_index_1based,alpha,nonconformity_threshold,equivalent_score_threshold
0,WOW,5000,4501,0.1,0.12665323773057402,0.873346762269426
0,S-UNIWARD,5000,4501,0.1,0.050743470645766564,0.9492565293542334
0,HILL,5000,4501,0.1,0.09016750609600677,0.9098324939039932
0,HUGO,5000,4501,0.1,0.11851610082687924,0.8814838991731208
0,MiPOD,5000,4501,0.1,0.04183866402570324,0.9581613359742968
1,WOW,5000,4501,0.1,0.12484651451871098,0.875153485481289
1,S-UNIWARD,5000,4501,0.1,0.055937822853216246,0.9440621771467838
1,HILL,5000,4501,0.1,0.09349820754548999,0.90650179245451
1,HUGO,5000,4501,0.1,0.11730082050599688,0.8826991794940031
1,MiPOD,5000,4501,0.1,0.042388459187369776,0.9576115408126302
