gamma,retention_percent,mean_set_size,search_reduction_percent,empty_percent,decision_coverage_percent,conditional_retention_percent,conditional_false_exclusion_percent
0.0,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.005,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.01,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.015,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.02,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.025,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.03,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.035,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.04,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.045,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.05,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.055,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.06,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.065,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.07,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.075,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.08,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.085,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.09,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.095,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.1,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.105,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.11,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.115,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.12,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.125,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.13,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.135,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.14,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.145,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.15,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.155,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.16,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.165,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.17,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.175,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.18,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.185,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.19,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.195,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.2,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.205,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.21,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.215,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.22,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.225,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.23,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.235,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.24,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.245,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.25,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.255,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.26,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.265,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.27,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.275,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.28,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.285,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.29,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.295,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.3,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.305,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.31,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.315,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.32,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.325,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.33,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.335,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.34,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.345,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.35,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.355,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.36,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.365,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.37,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.375,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.38,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.385,100.0,5.0,0.0,0.0,100.0,100.0,0.0
0.39,100.0,4.99992,0.0015999999999927186,0.0,100.0,100.0,0.0
0.395,100.0,4.99924,0.015199999999992997,0.0,100.0,100.0,0.0
0.4,100.0,4.99856,0.028799999999993272,0.0,100.0,100.0,0.0
0.405,100.0,4.9979,0.0420000000000087,0.0,100.0,100.0,0.0
0.41,100.0,4.99722,0.05559999999999121,0.0,100.0,100.0,0.0
0.415,100.0,4.99652,0.06959999999999411,0.0,100.0,100.0,0.0
0.42,100.0,4.99532,0.09359999999999147,0.0,100.0,100.0,0.0
0.425,100.0,4.99378,0.12439999999999785,0.0,100.0,100.0,0.0
0.43,99.994,4.99274,0.145199999999992,0.0,100.0,99.994,0.006000000000000227
0.435,99.994,4.9917,0.16600000000000392,0.0,100.0,99.994,0.006000000000000227
0.44,99.994,4.99078,0.18440000000000012,0.0,100.0,99.994,0.006000000000000227
0.445,99.988,4.98986,0.2027999999999963,0.0,100.0,99.988,0.012000000000000455
0.45,99.988,4.98894,0.22119999999999249,0.0,100.0,99.988,0.012000000000000455
0.455,99.98599999999999,4.98798,0.24039999999999395,0.0,100.0,99.98599999999999,0.014000000000010004
0.46,99.982,4.9873,0.25399999999999423,0.0,100.0,99.982,0.018000000000000682
0.465,99.982,4.98674,0.26519999999999655,0.0,100.0,99.982,0.018000000000000682
0.47,99.98,4.9859,0.28200000000000003,0.0,100.0,99.98,0.01999999999999602
0.475,99.98,4.9854,0.2919999999999945,0.0,100.0,99.98,0.01999999999999602
0.48,99.98,4.98478,0.30440000000000467,0.0,100.0,99.98,0.01999999999999602
0.485,99.978,4.98424,0.31520000000000437,0.0,100.0,99.978,0.02200000000000557
0.49,99.97200000000001,4.9835,0.32999999999999474,0.0,100.0,99.97200000000001,0.027999999999991587
0.495,99.97,4.98254,0.3491999999999962,0.0,100.0,99.97,0.030000000000001137
0.5,99.968,4.98136,0.3728000000000087,0.0,100.0,99.968,0.031999999999996476
0.505,99.96199999999999,4.98,0.39999999999999153,0.0,100.0,99.96199999999999,0.038000000000010914
0.51,99.96199999999999,4.97908,0.4184000000000054,0.0,100.0,99.96199999999999,0.038000000000010914
0.515,99.958,4.97822,0.4355999999999938,0.0,100.0,99.958,0.04200000000000159
0.52,99.952,4.9762,0.475999999999992,0.0,100.0,99.952,0.04800000000000182
0.525,99.946,4.97328,0.5344000000000015,0.0,100.0,99.946,0.054000000000002046
0.53,99.944,4.97136,0.5728000000000044,0.0,100.0,99.944,0.055999999999997385
0.535,99.942,4.9699,0.6020000000000003,0.0,100.0,99.942,0.058000000000006935
0.54,99.942,4.96836,0.6328000000000067,0.0,100.0,99.942,0.058000000000006935
0.545,99.938,4.96698,0.6603999999999921,0.0,100.0,99.938,0.06199999999999761
0.55,99.936,4.9655,0.6900000000000084,0.0,100.0,99.936,0.06399999999999295
0.555,99.92999999999999,4.96394,0.7211999999999996,0.0,100.0,99.92999999999999,0.07000000000000739
0.56,99.928,4.96248,0.7503999999999955,0.0,100.0,99.928,0.07200000000000273
0.565,99.926,4.96082,0.7836,0.0,100.0,99.926,0.07399999999999807
0.57,99.92,4.95904,0.8192000000000023,0.0,100.0,99.92,0.0799999999999983
0.575,99.91600000000001,4.95728,0.8544000000000018,0.0,100.0,99.91600000000001,0.08399999999998897
0.58,99.912,4.95566,0.8868000000000009,0.0,100.0,99.912,0.08799999999999386
0.585,99.90599999999999,4.95378,0.9243999999999984,0.0,100.0,99.90599999999999,0.0940000000000083
0.59,99.90599999999999,4.95132,0.9736000000000012,0.0,100.0,99.90599999999999,0.0940000000000083
0.595,99.90400000000001,4.94722,1.0556000000000054,0.0,100.0,99.90400000000001,0.09599999999998943
0.6,99.9,4.9439,1.1219999999999963,0.0,100.0,99.9,0.09999999999999432
0.605,99.892,4.94106,1.1787999999999954,0.0,100.0,99.892,0.10800000000000409
0.61,99.882,4.93862,1.2275999999999954,0.0,100.0,99.882,0.117999999999995
0.615,99.862,4.936,1.2800000000000011,0.0,100.0,99.862,0.13800000000000523
0.62,99.844,4.93326,1.3348000000000049,0.0,100.0,99.844,0.1560000000000059
0.625,99.832,4.93082,1.3836000000000048,0.0,100.0,99.832,0.16800000000000637
0.63,99.83,4.9289,1.4220000000000077,0.0,100.0,99.83,0.1700000000000017
0.635,99.82,4.92708,1.4583999999999975,0.0,100.0,99.82,0.18000000000000682
0.64,99.812,4.92516,1.4968000000000004,0.0,100.0,99.812,0.1880000000000024
0.645,99.79400000000001,4.9233,1.5339999999999954,0.0,100.0,99.79400000000001,0.20599999999998886
0.65,99.79,4.92156,1.5687999999999924,0.0,100.0,99.79,0.20999999999999375
0.655,99.78200000000001,4.91828,1.6343999999999959,0.0,100.0,99.78200000000001,0.2179999999999893
0.66,99.766,4.91518,1.6963999999999935,0.0,100.0,99.766,0.23399999999999466
0.665,99.76,4.91256,1.7487999999999992,0.0,100.0,99.76,0.23999999999999488
