path,y,split
${BOSSBASE_ROOT}\cover\1546.pgm,0,train
${BOSSBASE_ROOT}\cover\3347.pgm,0,train
${BOSSBASE_ROOT}\cover\5414.pgm,0,train
${BOSSBASE_ROOT}\cover\5923.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8768.pgm,1,train
${BOSSBASE_ROOT}\cover\6632.pgm,0,train
${BOSSBASE_ROOT}\cover\6667.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3868.pgm,1,train
${BOSSBASE_ROOT}\cover\9220.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9121.pgm,1,train
${BOSSBASE_ROOT}\cover\9504.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9261.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9395.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3267.pgm,1,train
${BOSSBASE_ROOT}\cover\4743.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7997.pgm,1,train
${BOSSBASE_ROOT}\cover\191.pgm,0,train
${BOSSBASE_ROOT}\cover\3170.pgm,0,train
${BOSSBASE_ROOT}\cover\3490.pgm,0,train
${BOSSBASE_ROOT}\cover\9066.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2395.pgm,1,train
${BOSSBASE_ROOT}\cover\6836.pgm,0,train
${BOSSBASE_ROOT}\cover\9174.pgm,0,train
${BOSSBASE_ROOT}\cover\3484.pgm,0,train
${BOSSBASE_ROOT}\cover\441.pgm,0,train
${BOSSBASE_ROOT}\cover\4929.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5932.pgm,1,train
${BOSSBASE_ROOT}\cover\3140.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5916.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2350.pgm,1,train
${BOSSBASE_ROOT}\cover\2064.pgm,0,train
